WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,YEAR,MONTH,DAY
6.54,0,7.8,0.0,13.7,0.0,10.4,9.3,1961,04,12
8.0,0,0.1,0.0,15.0,0.0,9.0,3.1,1961,04,13
4.29,0,0.5,0.0,14.6,0.0,7.0,3.3,1961,04,14
2.46,0,0.0,0.0,12.7,0.0,3.4,0.0,1961,04,15
2.88,0,0.0,0.0,12.2,0.0,2.3,-1.2,1961,04,16
4.46,0,0.0,0.0,15.5,0.0,3.8,-0.8,1961,04,17
5.66,0,0.2,0.0,10.7,0.0,6.7,3.6,1961,04,18
12.96,0,3.7,0.0,11.6,0.0,7.6,-1.1,1961,04,19
9.5,0,3.6,0.0,16.4,0.0,8.4,1.6,1961,04,21
7.46,0,11.0,0.0,12.6,0.0,9.3,3.8,1961,04,22
10.71,0,1.8,0.0,12.8,0.0,6.7,1.3,1961,04,23
5.25,0,2.8,0.0,13.8,0.0,2.4,-2.2,1961,04,24
13.75,0,17.2,0.0,12.8,0.0,7.7,1.1,1961,04,25
6.0,0,0.0,0.0,16.2,0.0,6.7,-0.1,1961,04,26
6.25,0,0.0,0.0,16.8,0.0,7.2,1.6,1961,04,27
2.67,0,0.0,0.0,15.5,0.0,2.7,-2.6,1961,04,28
4.04,0,4.0,0.0,15.7,0.0,7.1,3.8,1961,04,29
9.5,0,0.4,0.0,15.5,0.0,7.4,6.6,1961,05,03
5.96,0,2.0,0.0,16.7,0.0,10.5,7.8,1961,05,04
9.13,0,0.7,0.0,16.1,0.0,6.2,3.0,1961,05,05
16.83,0,0.8,0.0,15.5,0.0,9.2,6.2,1961,05,06
18.21,0,2.3,0.0,13.3,0.0,6.8,4.6,1961,05,07
18.58,0,0.0,0.0,15.0,0.0,7.2,5.5,1961,05,08
7.25,0,0.0,0.0,16.7,0.0,5.4,2.7,1961,05,09
3.33,0,0.0,0.0,17.1,0.0,2.1,-1.0,1961,05,10
3.67,0,0.0,0.0,19.7,0.0,2.2,0.3,1961,05,11
5.17,0,0.0,0.0,19.8,0.0,6.5,1.4,1961,05,12
5.21,0,0.2,0.0,22.1,0.0,5.1,0.1,1961,05,13
10.04,0,1.4,0.0,15.7,0.0,10.2,6.6,1961,05,14
5.91,0,0.0,0.0,14.7,0.0,9.0,8.5,1961,05,15
8.38,0,0.0,0.0,13.1,0.0,8.8,4.6,1961,05,16
5.83,0,0.0,0.0,13.4,0.0,3.0,-0.4,1961,05,17
5.04,0,0.0,0.0,12.7,0.0,4.3,-1.2,1961,05,18
6.83,0,0.0,0.0,14.6,0.0,5.0,0.5,1961,05,19
4.71,0,0.0,0.0,14.7,0.0,9.0,7.2,1961,05,20
3.17,0,0.0,0.0,15.2,0.0,3.4,-0.7,1961,05,21
2.42,0,0.0,0.0,14.4,0.0,6.2,1.1,1961,05,22
3.13,0,0.0,0.0,14.5,0.0,9.4,8.7,1961,05,23
4.0,0,0.2,0.0,14.6,0.0,10.4,10.0,1961,05,24
6.79,0,1.6,0.0,12.7,0.0,8.1,8.4,1961,05,25
9.33,0,0.0,0.0,10.6,0.0,4.6,2.2,1961,05,26
4.92,0,0.0,0.0,12.5,0.0,3.2,-1.2,1961,05,27
5.41,0,0.0,0.0,14.0,0.0,1.0,-2.8,1961,05,28
11.71,0,1.8,0.0,13.3,0.0,9.2,7.5,1961,05,29
5.83,0,0.0,0.0,14.2,0.0,10.0,8.1,1961,05,30
6.58,0,0.0,0.0,17.0,0.0,7.8,3.3,1961,05,31
9.75,0,0.0,0.0,17.0,0.0,5.0,3.2,1961,06,01
7.92,0,0.0,0.0,17.8,0.0,10.5,10.1,1961,06,02
10.41,0,0.0,0.0,18.7,0.0,11.7,10.8,1961,06,03
6.21,0,0.0,0.0,20.8,0.0,11.3,10.5,1961,06,04
3.42,0,9.4,2.0,17.0,0.0,12.7,11.7,1961,06,05
4.21,0,0.3,0.0,16.7,0.0,11.5,10.6,1961,06,06
8.17,0,4.8,0.0,17.7,0.0,8.8,6.6,1961,06,07
9.54,0,0.7,0.0,15.5,0.0,7.6,6.1,1961,06,08
8.29,0,1.8,0.0,17.2,0.0,6.1,4.4,1961,06,09
9.71,0,1.6,0.0,15.7,0.0,10.4,9.6,1961,06,10
6.25,0,3.6,0.0,16.6,0.0,9.0,8.4,1961,06,11
9.17,0,1.0,0.0,13.6,0.0,10.5,9.0,1961,06,12
4.67,0,0.2,0.0,18.0,0.0,6.2,3.2,1961,06,13
5.66,0,1.2,0.0,18.8,0.0,6.4,2.2,1961,06,14
8.25,0,0.1,0.0,18.8,0.0,13.1,10.4,1961,06,15
10.54,0,0.2,0.0,19.6,0.0,7.7,4.7,1961,06,16
12.96,0,0.8,0.0,20.0,0.0,15.0,14.4,1961,06,17
13.7,0,0.0,0.0,17.6,0.0,9.5,7.2,1961,06,18
10.37,0,0.0,0.0,17.3,0.0,8.7,6.4,1961,06,19
7.92,0,0.0,0.0,16.6,0.0,8.7,8.7,1961,06,20
10.54,0,1.6,0.0,19.4,0.0,7.2,2.1,1961,06,21
13.29,0,0.0,0.0,18.5,0.0,11.6,11.5,1961,06,22
14.21,0,0.0,0.0,22.4,0.0,11.6,9.4,1961,06,23
14.88,0,0.0,0.0,23.0,0.0,11.5,6.7,1961,06,24
11.87,0,2.8,0.0,21.6,0.0,12.1,11.4,1961,06,25
8.38,0,0.0,0.0,15.2,0.0,11.6,11.5,1961,06,26
10.54,0,0.0,0.0,16.7,0.0,6.1,3.5,1961,06,27
8.79,0,0.0,0.0,19.5,0.0,8.1,2.4,1961,06,28
8.33,0,0.0,0.0,22.2,0.0,11.1,8.5,1961,06,29
4.92,0,0.0,0.0,23.4,0.0,11.6,9.0,1961,06,30
6.71,0,0.0,0.0,19.4,0.0,15.5,14.4,1961,07,01
5.83,0,0.0,0.0,20.1,0.0,12.1,11.5,1961,07,02
15.75,0,0.6,0.0,18.3,0.0,9.5,7.2,1961,07,03
14.92,0,0.0,0.0,18.2,0.0,10.6,9.8,1961,07,04
10.08,0,0.0,0.0,20.0,0.0,7.1,4.5,1961,07,05
7.08,0,0.1,0.0,20.2,0.0,8.0,4.4,1961,07,06
14.54,0,0.2,0.0,21.2,0.0,13.6,12.2,1961,07,07
14.04,0,0.0,0.0,18.3,0.0,14.4,13.7,1961,07,08
9.46,0,6.4,0.0,18.4,0.0,12.3,11.2,1961,07,09
2.67,0,6.6,0.0,17.3,0.0,12.2,11.7,1961,07,10
7.41,0,5.4,0.0,17.4,0.0,12.8,12.8,1961,07,11
9.08,0,0.4,0.0,19.0,0.0,13.3,10.1,1961,07,12
16.83,0,21.4,0.0,13.8,0.0,9.0,8.4,1961,07,13
11.83,0,0.1,0.0,17.4,0.0,8.3,8.6,1961,07,14
10.25,0,2.6,0.0,18.8,0.0,7.6,5.8,1961,07,15
13.13,0,0.1,0.0,15.6,0.0,11.0,10.1,1961,07,16
7.08,0,0.0,0.0,19.7,0.0,10.5,8.8,1961,07,17
4.96,0,0.0,0.0,19.3,0.0,10.5,6.8,1961,07,18
3.5,0,0.0,0.0,18.7,0.0,7.6,3.4,1961,07,19
3.04,0,0.0,0.0,18.3,0.0,12.1,11.2,1961,07,20
2.21,0,0.0,0.0,16.0,0.0,11.7,7.7,1961,07,21
4.75,0,0.0,0.0,17.1,0.0,8.1,8.8,1961,07,22
2.21,0,0.0,0.0,17.3,0.0,10.0,7.7,1961,07,23
3.58,0,0.0,0.0,18.3,0.0,11.1,8.6,1961,07,24
12.29,0,1.6,0.0,20.6,0.0,11.6,9.2,1961,07,25
18.79,0,0.0,0.0,17.5,0.0,12.7,11.3,1961,07,26
7.87,0,2.6,0.0,16.7,0.0,10.2,11.2,1961,07,27
9.67,0,0.0,0.0,17.8,0.0,7.7,5.5,1961,07,28
5.79,0,0.0,0.0,18.2,0.0,11.2,10.5,1961,07,29
6.04,0,0.0,0.0,21.4,0.0,8.2,5.3,1961,07,30
3.75,0,0.0,0.0,17.7,0.0,11.7,10.7,1961,07,31
4.21,0,0.7,0.0,17.1,0.0,7.3,3.7,1961,08,01
8.87,0,0.9,0.0,17.8,0.0,10.4,9.0,1961,08,02
11.92,0,5.1,0.0,19.3,0.0,9.1,6.0,1961,08,03
13.54,0,0.0,0.0,20.6,0.0,13.4,13.1,1961,08,04
10.54,0,0.0,0.0,19.5,0.0,7.6,3.3,1961,08,05
7.87,0,0.1,0.0,18.3,0.0,13.1,8.4,1961,08,06
3.88,0,15.0,2.0,14.4,0.0,6.1,1.6,1961,08,07
10.63,0,1.1,0.0,19.0,0.0,10.0,9.8,1961,08,08
11.25,0,1.9,0.0,18.3,0.0,10.4,8.4,1961,08,09
4.67,0,1.2,0.0,16.6,0.0,9.0,6.2,1961,08,10
6.83,0,0.2,0.0,16.6,0.0,8.8,6.2,1961,08,11
6.83,0,0.8,0.0,19.1,0.0,5.6,2.2,1961,08,12
10.92,0,0.1,0.0,18.4,0.0,11.2,10.2,1961,08,13
15.09,0,0.4,0.0,18.8,0.0,11.6,9.7,1961,08,14
9.42,0,0.3,0.0,18.3,0.0,12.2,12.0,1961,08,15
12.96,0,0.0,0.0,19.0,0.0,11.1,10.7,1961,08,16
10.21,0,0.4,0.0,21.7,0.0,11.2,9.3,1961,08,17
19.04,0,0.8,0.0,17.0,0.0,12.5,13.3,1961,08,18
13.21,0,0.3,0.0,15.6,0.0,12.0,11.5,1961,08,19
12.58,0,9.5,0.0,21.0,0.0,11.3,10.1,1961,08,20
19.0,0,0.2,0.0,17.3,0.0,13.0,12.2,1961,08,21
12.08,0,0.0,0.0,17.2,0.0,10.5,10.5,1961,08,22
8.17,0,5.0,0.0,21.6,0.0,11.6,10.7,1961,08,23
5.66,0,0.0,0.0,18.0,0.0,6.4,5.0,1961,08,24
10.92,0,1.8,0.0,19.4,0.0,12.8,12.8,1961,08,25
9.79,0,1.1,0.0,18.2,0.0,8.6,5.2,1961,08,26
12.12,0,0.0,0.0,21.7,0.0,12.1,9.5,1961,08,27
9.08,0,0.0,0.0,24.6,0.0,12.6,9.4,1961,08,28
14.12,0,0.0,0.0,22.7,0.0,17.8,14.8,1961,08,29
4.58,0,0.0,0.0,20.0,0.0,9.4,4.8,1961,08,30
2.92,0,0.1,0.0,21.1,0.0,5.0,4.4,1961,08,31
4.63,0,0.1,0.0,21.0,0.0,11.1,1.3,1961,09,01
3.83,0,0.1,0.0,20.5,0.0,12.3,10.4,1961,09,02
5.88,0,0.0,0.0,16.1,0.0,13.7,13.7,1961,09,03
1.25,0,0.0,0.0,18.3,0.0,14.4,14.4,1961,09,04
9.38,0,0.2,0.0,15.6,0.0,10.6,8.4,1961,09,05
14.09,0,3.4,0.0,16.6,0.0,9.6,8.1,1961,09,06
7.87,0,0.0,0.0,15.8,0.0,6.7,5.0,1961,09,07
3.17,0,0.0,0.0,17.7,0.0,6.6,3.2,1961,09,08
6.92,0,7.9,0.0,20.2,0.0,5.6,2.3,1961,09,09
4.83,0,0.0,0.0,21.4,0.0,13.4,10.5,1961,09,10
8.63,0,2.8,0.0,18.2,0.0,10.5,6.4,1961,09,11
11.08,0,0.5,0.0,19.5,0.0,10.0,6.8,1961,09,12
11.75,0,0.8,0.0,19.1,0.0,12.6,10.7,1961,09,13
12.75,0,1.0,0.0,19.5,0.0,10.4,7.8,1961,09,14
13.0,0,0.5,0.0,19.4,0.0,13.1,12.4,1961,09,15
20.79,0,0.0,2.0,19.5,0.0,12.7,13.3,1961,09,16
7.87,0,0.0,0.0,20.0,0.0,10.5,7.2,1961,09,17
4.17,0,0.1,0.0,18.4,0.0,5.1,1.3,1961,09,18
8.17,0,9.0,0.0,21.6,0.0,11.6,8.1,1961,09,19
4.79,0,9.8,0.0,17.6,0.0,11.1,9.4,1961,09,20
6.46,0,0.0,0.0,18.3,0.0,13.2,12.6,1961,09,21
4.12,0,0.4,0.0,20.7,0.0,4.2,0.2,1961,09,22
6.08,0,2.8,0.0,20.3,0.0,13.3,12.1,1961,09,23
5.91,0,0.0,0.0,16.7,0.0,5.7,5.0,1961,09,24
8.92,0,0.0,0.0,15.5,0.0,4.6,0.5,1961,09,25
12.46,0,1.2,0.0,16.6,0.0,12.2,9.8,1961,09,26
8.08,0,32.0,0.0,14.5,0.0,8.1,4.5,1961,09,27
9.13,0,6.1,0.0,14.4,0.0,10.5,10.0,1961,09,28
9.21,0,1.2,0.0,16.8,0.0,8.0,2.2,1961,09,29
10.96,0,0.0,0.0,14.8,0.0,8.5,4.6,1961,09,30
5.83,0,0.5,0.0,16.0,0.0,10.3,7.6,1961,10,01
8.71,0,3.4,0.0,17.7,0.0,10.4,8.4,1961,10,02
4.04,0,7.3,0.0,15.5,0.0,13.8,10.6,1961,10,03
3.5,0,4.0,0.0,12.7,0.0,6.6,5.1,1961,10,04
5.63,0,1.8,0.0,14.7,0.0,8.8,9.7,1961,10,05
12.96,0,3.0,0.0,15.0,0.0,11.0,9.5,1961,10,06
6.87,0,0.6,0.0,14.6,0.0,4.3,2.7,1961,10,07
10.17,0,1.6,0.0,15.1,0.0,6.4,2.7,1961,10,08
9.04,0,1.7,0.0,17.5,0.0,7.8,2.7,1961,10,09
11.75,0,0.9,0.0,16.6,0.0,10.4,8.3,1961,10,10
12.71,0,0.1,0.0,14.3,0.0,9.0,6.8,1961,10,11
5.58,0,0.0,0.0,15.5,0.0,2.0,-1.5,1961,10,12
9.92,0,0.0,0.0,17.8,0.0,5.7,2.6,1961,10,13
2.96,0,0.0,0.0,15.6,0.0,8.8,0.0,1961,10,14
9.0,0,0.0,0.0,13.8,0.0,2.5,2.3,1961,10,15
14.58,0,2.2,0.0,12.2,0.0,6.5,4.1,1961,10,16
22.17,0,0.0,0.0,12.6,0.0,8.8,7.3,1961,10,17
21.84,0,0.0,0.0,12.3,0.0,6.0,4.5,1961,10,18
13.21,0,1.1,0.0,9.6,0.0,5.7,3.5,1961,10,19
12.08,0,0.0,0.0,10.7,0.0,2.5,-0.2,1961,10,20
7.5,0,0.3,0.0,13.7,0.0,5.0,3.8,1961,10,21
17.58,0,16.7,0.0,12.6,0.0,8.4,4.8,1961,10,22
16.21,0,6.6,0.0,14.5,0.0,6.0,4.8,1961,10,23
17.96,0,5.6,0.0,11.5,0.0,8.2,6.6,1961,10,24
18.34,0,0.2,0.0,11.1,0.0,3.2,1.7,1961,10,25
9.79,0,0.0,0.0,13.3,0.0,7.4,5.2,1961,10,26
7.79,0,1.6,0.0,11.6,0.0,4.5,-0.4,1961,10,27
9.75,0,0.0,0.0,11.7,0.0,3.7,1.0,1961,10,28
9.42,0,0.0,0.0,10.4,0.0,1.5,-3.6,1961,10,29
14.88,0,0.0,0.0,12.5,0.0,5.0,-1.1,1961,10,30
15.25,0,0.5,0.0,15.4,0.0,8.3,8.4,1961,10,31
13.08,0,0.3,0.0,15.4,0.0,7.7,3.1,1961,11,01
15.83,0,0.5,0.0,11.7,0.0,8.0,5.4,1961,11,02
11.21,0,0.0,0.0,8.2,0.0,2.2,-1.2,1961,11,03
8.5,0,0.0,0.0,10.6,0.0,1.3,-2.4,1961,11,04
8.21,0,0.0,2.0,11.3,0.0,6.6,4.1,1961,11,06
9.29,0,4.1,0.0,13.2,0.0,6.6,5.6,1961,11,07
6.58,0,0.0,0.0,10.0,0.0,2.3,-1.6,1961,11,08
8.21,0,0.0,0.0,9.5,1.0,-1.0,-6.3,1961,11,09
7.71,0,0.3,0.0,6.1,1.0,-1.6,-6.6,1961,11,10
12.12,0,0.0,0.0,8.6,1.0,-1.6,-5.5,1961,11,11
13.04,0,0.0,0.0,10.5,0.0,0.8,-4.4,1961,11,12
21.87,0,0.0,0.0,10.5,0.0,3.2,1.1,1961,11,13
15.71,0,0.0,0.0,9.4,0.0,8.0,5.4,1961,11,14
6.0,0,0.0,0.0,8.7,0.0,6.7,5.8,1961,11,15
2.29,0,0.5,0.0,8.3,0.0,6.1,5.0,1961,11,16
3.13,0,0.4,0.0,9.6,0.0,6.0,5.5,1961,11,17
9.29,0,0.0,0.0,9.6,0.0,6.1,6.3,1961,11,18
9.33,0,0.0,0.0,9.4,0.0,8.4,7.2,1961,11,19
13.04,0,0.0,0.0,9.5,0.0,8.4,7.2,1961,11,20
7.0,0,17.8,0.0,10.2,0.0,1.1,-2.7,1961,11,21
15.41,0,0.0,0.0,8.7,0.0,2.4,-0.5,1961,11,23
11.83,0,0.0,0.0,7.7,0.0,2.8,-0.2,1961,11,25
6.34,0,8.6,0.0,8.1,1.0,-0.4,-5.4,1961,11,26
12.79,0,0.9,0.0,8.3,0.0,1.7,-1.7,1961,11,28
15.29,0,12.5,0.0,12.6,0.0,3.5,4.2,1961,11,29
16.5,0,5.8,0.0,13.1,0.0,6.6,6.7,1961,11,30
7.25,0,0.0,0.0,5.5,0.0,4.6,3.3,1961,12,01
12.21,0,3.0,0.0,7.2,0.0,0.3,-2.6,1961,12,02
7.67,0,3.2,0.0,7.4,1.0,-3.2,-7.8,1961,12,03
17.83,0,0.1,2.0,5.0,0.0,0.7,-1.4,1961,12,05
12.62,0,0.0,0.0,3.3,1.0,-0.4,-3.1,1961,12,06
8.87,0,4.5,0.0,5.5,1.0,-5.4,-10.4,1961,12,07
10.04,0,3.4,0.0,13.3,0.0,5.1,0.1,1961,12,09
18.84,0,4.6,0.0,14.0,0.0,5.1,0.4,1961,12,10
25.62,0,0.4,0.0,11.8,0.0,9.5,8.3,1961,12,11
16.83,0,3.3,0.0,13.4,0.0,9.1,7.5,1961,12,12
16.66,0,0.2,2.0,13.5,0.0,7.8,2.5,1961,12,13
9.38,0,0.1,0.0,12.7,1.0,-1.1,-5.5,1961,12,14
6.92,0,0.0,0.0,11.2,0.0,7.8,3.3,1961,12,16
9.54,0,0.0,0.0,9.0,0.0,4.8,1.6,1961,12,17
4.79,0,0.0,0.0,4.4,1.0,-2.7,-8.3,1961,12,18
3.54,0,0.0,0.0,2.1,1.0,-5.0,-8.5,1961,12,19
3.63,0,0.0,0.0,6.1,1.0,-5.5,-9.0,1961,12,20
4.33,0,0.0,0.0,6.2,1.0,-5.0,-6.7,1961,12,21
18.12,0,0.0,2.0,5.0,0.0,3.8,3.4,1961,12,23
8.5,0,0.0,0.0,2.6,1.0,-0.5,-5.1,1961,12,24
11.92,0,0.0,2.0,5.0,1.0,-2.7,-10.7,1961,12,25
17.12,0,0.0,0.0,5.0,0.0,0.7,-0.5,1961,12,26
2.92,0,0.0,0.0,3.3,1.0,-3.2,-9.4,1961,12,27
8.96,0,0.0,0.0,3.8,1.0,-5.2,-10.0,1961,12,28
15.0,0,0.0,2.0,3.0,1.0,-5.0,-8.6,1961,12,29
17.29,0,0.0,0.0,1.7,0.0,0.1,0.0,1961,12,30
10.04,0,1.3,0.0,1.5,1.0,-11.0,-13.4,1961,12,31
8.46,0,0.0,1.0,-0.1,1.0,-7.8,-10.5,1962,01,02
4.58,0,0.0,0.0,1.8,1.0,-8.1,-8.8,1962,01,03
15.29,0,1.8,0.0,9.1,1.0,-2.3,-7.1,1962,01,05
8.46,0,2.1,0.0,11.6,0.0,4.6,2.4,1962,01,06
14.29,0,0.0,0.0,8.8,0.0,4.5,0.6,1962,01,07
17.71,0,6.8,0.0,10.8,0.0,6.2,3.3,1962,01,08
15.29,0,0.0,0.0,6.2,0.0,3.1,0.5,1962,01,09
14.29,0,4.2,0.0,12.5,0.0,1.7,-1.1,1962,01,10
25.96,0,0.7,0.0,7.6,0.0,2.4,0.0,1962,01,11
23.54,0,0.1,0.0,7.6,0.0,3.2,0.7,1962,01,12
19.7,0,0.0,0.0,5.5,0.0,0.0,-1.2,1962,01,13
12.42,0,0.1,0.0,8.6,0.0,0.5,-2.6,1962,01,14
20.38,0,7.8,0.0,11.5,0.0,0.8,-0.3,1962,01,15
19.75,0,2.7,0.0,8.1,0.0,2.6,-0.5,1962,01,16
22.79,0,1.0,0.0,8.6,0.0,2.8,3.8,1962,01,17
12.46,0,0.0,0.0,8.3,0.0,1.1,-2.7,1962,01,18
16.08,0,1.1,0.0,9.8,0.0,2.2,1.6,1962,01,19
10.29,0,1.1,0.0,11.1,0.0,4.2,1.8,1962,01,20
17.29,0,2.4,0.0,8.8,0.0,5.5,3.8,1962,01,21
23.25,0,0.0,0.0,6.2,0.0,1.8,-0.5,1962,01,22
