Wage,Age,Club,League,Nation,Position,Apps,Caps
1795000.0,28,Mainz 05,Bundesliga,FRA,Forward,247,0
1793000.0,32,Hertha Berlin,Bundesliga,MNE,Forward,330,63
1793000.0,28,Mallorca,La Liga,SWE,Defender,257,46
1767000.0,30,Bologna,Serie A,ITA,Forward,352,3
1767000.0,31,Bologna,Serie A,ITA,Midfilder,352,9
1763000.0,27,Spezia,Serie A,UZB,Forward,217,57
1759000.0,27,Cremonese,Serie A,ITA,Midfilder,217,0
1759000.0,28,Milan,Serie A,BIH,Midfilder,264,27
1759000.0,25,Bologna,Serie A,ITA,Midfilder,207,2
1759000.0,30,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,310,0
1754000.0,33,Spezia,Serie A,SWE,Midfilder,363,66
1742000.0,27,FC Porto,Primiera Liga,POR,Midfilder,240,7
1732000.0,35,FC Porto,Primiera Liga,ESP,Defender,350,0
1726000.0,24,Girona,La Liga,UKR,Midfilder,156,40
1724000.0,30,Hoffenheim,Bundesliga,CZE,Defender,306,48
1724000.0,26,Hoffenheim,Bundesliga,DEN,Defender,225,11
1724000.0,31,Eintracht Frankfurt,Bundesliga,GER,Midfilder,250,0
1724000.0,23,Sampdoria,Serie A,FRA,Midfilder,89,0
1724000.0,25,R. Madrid,La Liga,ESP,Defender,125,0
1722000.0,25,Real San Sebastian,La Liga,ESP,Midfilder,214,4
1719000.0,21,VfL Wolfsburg,Bundesliga,AUT,Midfilder,139,1
1719000.0,23,Borussia M'gladbach,Bundesliga,AUT,Forward,156,0
1719000.0,19,Borussia M'gladbach,Bundesliga,GER,Defender,36,0
1719000.0,24,VfL Wolfsburg,Bundesliga,GER,Defender,143,4
1719000.0,23,VfL Wolfsburg,Bundesliga,DEN,Forward,102,15
1719000.0,26,Mainz 05,Bundesliga,SUI,Defender,225,22
1719000.0,24,Borussia Dortmund,Bundesliga,SUI,Goalkeeper,162,3
1718000.0,23,Hoffenheim,Bundesliga,DEN,Midfilder,89,6
1711000.0,34,Benfica,Primiera Liga,ARG,Defender,351,91
1695000.0,21,RB Leipzig,Bundesliga,HUN,Midfilder,133,24
1693000.0,25,AS Monaco,Ligue 1 Uber Eats,BRA,Defender,155,0
1681000.0,29,SV Werder,Bundesliga,GER,Midfilder,266,0
1681000.0,28,SV Werder,Bundesliga,GER,Defender,218,0
1664000.0,30,Fulham,Premier League,COD,Midfilder,261,32
1655000.0,23,Capitoline,Serie A,BRA,Defender,92,0
1655000.0,33,Milan,Serie A,DEN,Defender,385,119
1655000.0,40,Milan,Serie A,SWE,Forward,633,121
1655000.0,24,Parthenope,Serie A,URU,Defender,121,6
1655000.0,35,Bologna,Serie A,CHI,Defender,436,152
1655000.0,22,Parthenope,Serie A,MKD,Midfilder,177,42
1655000.0,24,Atalanta,Serie A,NED,Midfilder,175,9
1655000.0,26,Fiorentina,Serie A,MAR,Midfilder,181,36
1655000.0,23,Fiorentina,Serie A,BRA,Defender,116,0
1650000.0,30,Famalicao,Primiera Liga,GNB,Midfilder,211,21
1634000.0,26,Vigo,La Liga,GHA,Defender,194,8
1632000.0,28,Espanyol,La Liga,ESP,Midfilder,367,0
1632000.0,30,Vigo,La Liga,SUI,Forward,287,86
1627000.0,30,Sevilla,La Liga,ARG,Defender,343,41
1623000.0,31,Sporting CP,Primiera Liga,URU,Defender,317,47
1612000.0,26,Udinese,Serie A,NGA,Forward,169,4
1610000.0,32,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,441,0
1598000.0,24,Bologna,Serie A,CRO,Midfilder,170,1
1596000.0,34,Villarreal,La Liga,FRA,Midfilder,418,7
1595000.0,35,Sassuolo,Serie A,ITA,Goalkeeper,552,0
1595000.0,25,AJ Auxerre,Ligue 1 Uber Eats,ROU,Goalkeeper,81,0
1595000.0,26,Empoli,Serie A,ROU,Midfilder,252,41
1595000.0,29,Lazio,Serie A,ESP,Defender,214,0
1595000.0,24,Salernitana,Serie A,ITA,Midfilder,177,0
1595000.0,28,Brianza,Serie A,ITA,Goalkeeper,252,2
1595000.0,23,Lazio,Serie A,ITA,Defender,70,1
1595000.0,21,Torino,Serie A,ITA,Midfilder,97,0
1595000.0,31,Atalanta,Serie A,NED,Midfilder,388,27
1595000.0,24,Juventus,Serie A,ITA,Defender,171,1
1595000.0,35,Salernitana,Serie A,ARG,Defender,383,10
1595000.0,24,Lazio,Serie A,ITA,Defender,132,0
1595000.0,28,Lazio,Serie A,ITA,Goalkeeper,232,0
1595000.0,21,Juventus,Serie A,ITA,Midfilder,42,0
1595000.0,26,Bologna,Serie A,ITA,Defender,135,0
1595000.0,33,Torino,Serie A,ALB,Goalkeeper,279,73
1595000.0,25,Torino,Serie A,NGA,Defender,165,29
1595000.0,31,Parthenope,Serie A,BRA,Defender,220,4
1595000.0,31,Atalanta,Serie A,ITA,Defender,360,8
1595000.0,32,Empoli,Serie A,ITA,Defender,232,0
1595000.0,25,Brianza,Serie A,ITA,Midfilder,204,14
1595000.0,27,Atalanta,Serie A,CRO,Midfilder,258,40
1595000.0,31,Milan,Serie A,BRA,Forward,214,0
1595000.0,23,Milan,Serie A,ITA,Midfilder,117,1
1595000.0,20,Brianza,Serie A,ITA,Midfilder,46,0
1585000.0,22,FC Porto,Primiera Liga,POR,Goalkeeper,94,5
1583000.0,27,RC Lens,Ligue 1 Uber Eats,CIV,Midfilder,239,6
1582000.0,33,OM,Ligue 1 Uber Eats,CHI,Forward,521,152
1582000.0,22,OM,Ligue 1 Uber Eats,POR,Forward,56,0
1579000.0,25,Bologna,Serie A,NED,Midfilder,144,1
1574000.0,30,FC Porto,Primiera Liga,IRN,Forward,248,58
1572000.0,24,Getafe,La Liga,ESP,Midfilder,120,1
1562000.0,28,A. Madrid,La Liga,MOZ,Defender,150,35
1560000.0,31,Nottm Forest,Premier League,ENG,Defender,403,0
1560000.0,28,Brentford,Premier League,IRN,Forward,263,31
1560000.0,32,Leicester,Premier League,ENG,Goalkeeper,444,0
1560000.0,31,Bournemouth,Premier League,ENG,Defender,351,0
1560000.0,40,Southampton,Premier League,ARG,Goalkeeper,369,5
1560000.0,20,Crystal Palace,Premier League,FRA,Midfilder,36,0
1560000.0,21,Wolves,Premier League,IRL,Defender,65,6
1560000.0,21,Nottm Forest,Premier League,BRA,Midfilder,74,0
1560000.0,29,Brentford,Premier League,JAM,Defender,360,5
1560000.0,21,Reims,Ligue 1 Uber Eats,ENG,Forward,25,0
1560000.0,21,Crystal Palace,Premier League,ENG,Defender,22,0
1560000.0,19,Tottenham,Premier League,SEN,Midfilder,66,8
1560000.0,30,Chelsea,Premier League,ENG,Goalkeeper,225,0
1560000.0,22,OM,Ligue 1 Uber Eats,POR,Defender,72,0
1560000.0,23,West Ham,Premier League,ENG,Midfilder,144,0
1560000.0,22,Bournemouth,Premier League,ENG,Midfilder,62,0
1560000.0,25,Wolves,Premier League,ENG,Defender,122,0
1560000.0,24,Southampton,Premier League,ENG,Defender,217,0
1560000.0,25,Fulham,Premier League,USA,Defender,164,28
1560000.0,22,West Ham,Premier League,ENG,Defender,38,0
1560000.0,23,Liverpool,Premier League,IRL,Goalkeeper,4,8
1560000.0,24,Newcastle,Premier League,ENG,Midfilder,143,0
1560000.0,20,Liverpool,Premier League,ENG,Forward,42,0
1560000.0,27,Bournemouth,Premier League,ENG,Midfilder,225,0
1560000.0,28,OGC Nice,Ligue 1 Uber Eats,ENG,Defender,325,0
1560000.0,29,Newcastle,Premier League,GER,Goalkeeper,206,0
1560000.0,31,Fulham,Premier League,SCO,Midfilder,375,2
1552000.0,32,FC Augsburg,Bundesliga,GER,Midfilder,360,1
1552000.0,26,Eintracht Frankfurt,Bundesliga,FRA,Defender,110,0
1549000.0,27,Benfica,Primiera Liga,BRA,Defender,124,2
1548000.0,33,Schalke 04,Bundesliga,GER,Goalkeeper,275,0
1548000.0,26,Torino,Serie A,SRB,Forward,129,35
1548000.0,30,Mainz 05,Bundesliga,KOR,Midfilder,262,63
1548000.0,19,OL,Ligue 1 Uber Eats,FRA,Forward,54,0
1548000.0,31,1. FC Koln,Bundesliga,GER,Forward,278,1
1548000.0,34,FC Augsburg,Bundesliga,GER,Defender,435,0
1548000.0,26,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,234,0
1546000.0,26,OGC Nice,Ligue 1 Uber Eats,ALG,Defender,141,20
1546000.0,24,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,85,0
1546000.0,27,FC Nantes,Ligue 1 Uber Eats,NGA,Midfilder,256,53
1545000.0,23,Real San Sebastian,La Liga,ESP,Midfilder,132,1
1543000.0,23,Milan,Serie A,POR,Forward,138,9
1543000.0,25,Lazio,Serie A,CRO,Midfilder,204,2
1534000.0,35,Sevilla,La Liga,BRA,Midfilder,393,0
1525000.0,35,Sporting CP,Primiera Liga,ESP,Goalkeeper,361,0
1505000.0,24,Villarreal,La Liga,ARG,Defender,70,15
1505000.0,20,VfL Wolfsburg,Bundesliga,POL,Midfilder,108,3
1503000.0,24,Rennes,Ligue 1 Uber Eats,CRO,Midfilder,156,8
1502000.0,26,Benfica,Primiera Liga,NOR,Midfilder,330,8
1482000.0,25,Elche,La Liga,ARG,Forward,184,0
1474000.0,25,Real Hispalis,La Liga,ITA,Defender,125,1
1473000.0,37,Salernitana,Serie A,MEX,Goalkeeper,595,128
1472000.0,32,LOSC,Ligue 1 Uber Eats,BRA,Defender,238,0
1462000.0,28,Mainz 05,Bundesliga,GER,Midfilder,248,0
1457000.0,28,Real San Sebastian,La Liga,ESP,Defender,229,0
1456000.0,26,Brentford,Premier League,COD,Midfilder,209,6
1456000.0,24,Brentford,Premier League,GRN,Midfilder,88,3
1444000.0,25,Elche,La Liga,ESP,Defender,184,0
1444000.0,38,LOSC,Ligue 1 Uber Eats,POR,Defender,593,50
1441000.0,29,Benfica,Primiera Liga,POR,Forward,293,25
1440000.0,34,Bologna,Serie A,ITA,Defender,405,6
1440000.0,25,Empoli,Serie A,ALB,Defender,137,27
1440000.0,29,Lazio,Serie A,MNE,Defender,311,49
1440000.0,31,Salernitana,Serie A,ITA,Goalkeeper,199,0
1440000.0,24,Spezia,Serie A,GRE,Defender,104,1
1440000.0,31,Bologna,Serie A,POL,Goalkeeper,286,7
1440000.0,30,Atalanta,Serie A,ITA,Defender,280,13
1438000.0,20,A. Bilbao,La Liga,ESP,Midfilder,68,0
1436000.0,22,Getafe,La Liga,URU,Defender,52,0
1435000.0,27,Empoli,Serie A,ITA,Midfilder,142,0
1435000.0,35,Girona,La Liga,URU,Forward,496,50
1435000.0,31,Vallecano,La Liga,FRA,Defender,327,0
1423000.0,22,FC Porto,Primiera Liga,BRA,Forward,71,0
1419000.0,34,Schalke 04,Bundesliga,JPN,Defender,355,119
1414000.0,26,Villarreal,La Liga,ESP,Defender,234,0
1412000.0,26,Benfica,Primiera Liga,ESP,Defender,264,0
1412000.0,22,Tottenham,Premier League,ESP,Defender,109,1
1410000.0,24,Mallorca,La Liga,BIH,Defender,100,18
1405000.0,23,Sassuolo,Serie A,FRA,Forward,99,0
1401000.0,31,Real Hispalis,La Liga,ESP,Midfilder,381,10
1393000.0,30,FC Nantes,Ligue 1 Uber Eats,ALG,Forward,357,11
1384000.0,24,Fiorentina,Serie A,SRB,Forward,175,26
1376000.0,29,Mainz 05,Bundesliga,SUI,Defender,315,31
1375000.0,27,AC Ajaccio,Ligue 1 Uber Eats,MLI,Defender,93,17
1370000.0,24,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,70,0
1356000.0,24,Sporting CP,Primiera Liga,POR,Midfilder,97,2
1354000.0,23,Udinese,Serie A,SVN,Defender,146,31
1354000.0,31,Sassuolo,Serie A,FRA,Forward,321,0
1345000.0,21,Wolves,Premier League,MLI,Midfilder,35,0
1345000.0,32,Hoffenheim,Bundesliga,BIH,Defender,224,35
1345000.0,27,Union Berlin,Bundesliga,CRO,Defender,247,20
1345000.0,26,Sampdoria,Serie A,ARG,Midfilder,183,0
1345000.0,27,Cremonese,Serie A,NGA,Forward,205,3
1340000.0,28,Sevilla,La Liga,ARG,Midfilder,350,10
1340000.0,30,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,274,0
1334000.0,28,SV Werder,Bundesliga,GER,Forward,276,0
1334000.0,25,FC Porto,Primiera Liga,BRA,Midfilder,125,0
1328000.0,23,Reims,Ligue 1 Uber Eats,SWE,Defender,85,13
1328000.0,23,Sassuolo,Serie A,ALB,Midfilder,187,7
1328000.0,20,Juventus,Serie A,BRA,Forward,53,0
1328000.0,24,Bournemouth,Premier League,URU,Defender,92,24
1328000.0,36,Milan,Serie A,ROU,Goalkeeper,362,73
1328000.0,21,Parthenope,Serie A,GEO,Forward,113,17
1328000.0,25,Capitoline,Serie A,CRO,Midfilder,152,4
1323000.0,28,Espanyol,La Liga,ESP,Midfilder,264,1
1310000.0,24,Bologna,Serie A,COL,Defender,154,7
1305000.0,24,Schalke 04,Bundesliga,CZE,Midfilder,121,31
1301000.0,28,Cremonese,Serie A,FRA,Midfilder,243,0
1300000.0,31,Valencia,La Liga,ESP,Goalkeeper,223,0
1300000.0,18,Chelsea,Premier League,ENG,Forward,3,0
1300000.0,33,Elche,La Liga,ARG,Defender,318,32
1300000.0,20,Man City,Premier League,ENG,Midfilder,7,0
1300000.0,22,Newcastle,Premier League,ENG,Midfilder,45,0
1300000.0,22,Bournemouth,Premier League,ZIM,Defender,42,6
1300000.0,23,Bournemouth,Premier League,ENG,Midfilder,149,0
1300000.0,24,Brighton,Premier League,ESP,Goalkeeper,114,1
1300000.0,20,Man UFC,Premier League,URU,Forward,65,6
1300000.0,30,Bournemouth,Premier League,WAL,Forward,305,26
1300000.0,25,Nottm Forest,Premier League,ENG,Defender,207,0
1300000.0,25,Liverpool,Premier League,ENG,Defender,53,0
1300000.0,24,Nottm Forest,Premier League,ENG,Midfilder,196,0
1300000.0,26,Valladolid,La Liga,BRA,Defender,146,0
1300000.0,22,Wolves,Premier League,POR,Forward,44,0
1300000.0,25,Nottm Forest,Premier League,SCO,Defender,194,26
1300000.0,30,Leeds,Premier League,ENG,Midfilder,274,0
1300000.0,30,Girona,La Liga,ARG,Goalkeeper,116,1
1300000.0,20,Leeds,Premier League,NED,Midfilder,49,0
1300000.0,32,Bournemouth,Premier League,ENG,Midfilder,314,0
1300000.0,20,Brighton,Premier League,ECU,Midfilder,52,28
1300000.0,23,Bournemouth,Premier League,IRL,Goalkeeper,80,3
1300000.0,26,Bournemouth,Premier League,ENG,Defender,212,0
1300000.0,21,Leicester,Premier League,ENG,Defender,46,0
1298000.0,28,Benfica,Primiera Liga,GRE,Goalkeeper,244,27
1298000.0,29,FC Porto,Primiera Liga,BRA,Defender,237,0
1296000.0,23,Capitoline,Serie A,NOR,Forward,135,0
1293000.0,25,Getafe,La Liga,PAR,Defender,124,11
1293000.0,27,BRG,Primiera Liga,POR,Midfilder,240,9
1293000.0,25,Hertha Berlin,Bundesliga,GER,Midfilder,165,4
1293000.0,27,1. FC Koln,Bundesliga,TUN,Midfilder,218,45
1293000.0,25,Mallorca,La Liga,ESP,Defender,163,0
1292000.0,28,Sampdoria,Serie A,GER,Defender,161,0
1290000.0,31,Mainz 05,Bundesliga,GER,Defender,290,0
1290000.0,31,Borussia M'gladbach,Bundesliga,GER,Midfilder,339,2
1290000.0,27,Mainz 05,Bundesliga,GER,Goalkeeper,177,0
1290000.0,27,Vigo,La Liga,ESP,Defender,310,0
1290000.0,29,Elche,La Liga,ESP,Midfilder,285,0
1290000.0,25,Mainz 05,Bundesliga,FRA,Defender,114,0
1290000.0,23,Hoffenheim,Bundesliga,AUT,Midfilder,108,21
1290000.0,34,Schalke 04,Bundesliga,GER,Forward,427,0
1290000.0,27,1. FC Koln,Bundesliga,GER,Forward,258,0
1290000.0,23,Eintracht Frankfurt,Bundesliga,FRA,Forward,100,0
1290000.0,27,Union Berlin,Bundesliga,SUR,Midfilder,198,5
1290000.0,27,Bayer 04,Bundesliga,GER,Midfilder,247,0
1290000.0,24,Hertha Berlin,Bundesliga,NGA,Forward,145,8
1290000.0,27,VfL Wolfsburg,Bundesliga,BRA,Defender,106,0
1290000.0,22,Borussia M'gladbach,Bundesliga,FRA,Midfilder,47,0
1290000.0,19,Milan,Serie A,BEL,Midfilder,68,0
1290000.0,23,VfL Wolfsburg,Bundesliga,FRA,Defender,99,0
1290000.0,21,Bayer 04,Bundesliga,NED,Defender,76,0
1290000.0,22,Mainz 05,Bundesliga,LUX,Midfilder,99,39
1290000.0,31,Schalke 04,Bundesliga,GER,Forward,351,0
1290000.0,22,Bayer 04,Bundesliga,NED,Defender,89,0
1290000.0,21,Bayer 04,Bundesliga,CIV,Defender,81,15
1290000.0,26,Union Berlin,Bundesliga,USA,Forward,182,9
1290000.0,20,Bayer 04,Bundesliga,CZE,Forward,106,18
1290000.0,22,VfL Wolfsburg,Bundesliga,CRO,Defender,85,0
1290000.0,22,Mainz 05,Bundesliga,GER,Forward,83,0
1289000.0,38,OGC Nice,Ligue 1 Uber Eats,BRA,Defender,496,13
1289000.0,30,Hertha Berlin,Bundesliga,GER,Defender,297,7
1289000.0,27,Bayer 04,Bundesliga,NED,Defender,159,0
1289000.0,23,OM,Ligue 1 Uber Eats,ARG,Defender,66,2
1287000.0,33,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,494,71
1276000.0,32,Atalanta,Serie A,ARG,Defender,302,0
1276000.0,23,Bologna,Serie A,GAM,Forward,136,27
1276000.0,35,Empoli,Serie A,ITA,Forward,531,2
1276000.0,26,Empoli,Serie A,SUI,Midfilder,200,0
1276000.0,32,Cremonese,Serie A,ROU,Defender,243,75
1276000.0,28,Atalanta,Serie A,NED,Defender,240,13
1276000.0,27,Verona,Serie A,FRA,Forward,218,0
1276000.0,25,Spezia,Serie A,POL,Goalkeeper,179,2
1276000.0,27,Parthenope,Serie A,ITA,Goalkeeper,139,1
1276000.0,26,Empoli,Serie A,SCO,Midfilder,212,0
1276000.0,29,Atalanta,Serie A,ALB,Defender,331,48
1276000.0,28,Inter,Serie A,GER,Defender,238,13
1276000.0,25,Sampdoria,Serie A,ITA,Goalkeeper,178,0
1276000.0,22,Milan,Serie A,ITA,Defender,54,0
1273000.0,35,LOSC,Ligue 1 Uber Eats,FRA,Goalkeeper,513,1
1268000.0,22,Udinese,Serie A,ARG,Defender,65,0
1268000.0,24,Udinese,Serie A,SVN,Midfilder,193,22
1266000.0,22,Leicester,Premier League,BRA,Midfilder,90,0
1266000.0,23,Fulham,Premier League,ISR,Forward,143,31
1256000.0,29,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,244,1
1255000.0,19,Valencia,La Liga,GUI,Midfilder,52,8
1238000.0,23,Sevilla,La Liga,SEN,Midfilder,104,11
1238000.0,26,LOSC,Ligue 1 Uber Eats,FRA,Forward,219,0
1237000.0,29,Rennes,Ligue 1 Uber Eats,FRA,Midfilder,229,0
1235000.0,26,FC Porto,Primiera Liga,SRB,Midfilder,164,17
1233000.0,29,Schalke 04,Bundesliga,COL,Defender,189,9
1233000.0,27,SV Werder,Bundesliga,GER,Defender,212,2
1232000.0,35,Villarreal,La Liga,ESP,Midfilder,523,0
1232000.0,19,Villarreal,La Liga,ESP,Forward,80,4
1224000.0,20,Inter,Serie A,ALB,Midfilder,27,4
1224000.0,25,Salento,Serie A,ITA,Defender,220,0
1222000.0,39,Real Hispalis,La Liga,CHI,Goalkeeper,448,144
1219000.0,25,Sporting CP,Primiera Liga,NED,Defender,169,0
1216000.0,23,VfL Wolfsburg,Bundesliga,EGY,Forward,106,13
1216000.0,30,Sampdoria,Serie A,COL,Defender,293,32
1216000.0,30,Sampdoria,Serie A,ITA,Forward,325,11
1204000.0,25,Hertha Berlin,Bundesliga,GER,Defender,158,0
1201000.0,31,Mallorca,La Liga,ARG,Midfilder,262,2
1198000.0,30,Bologna,Serie A,FRA,Defender,165,0
1197000.0,23,Union Berlin,Bundesliga,HUN,Midfilder,117,20
1186000.0,32,Montpellier,Ligue 1 Uber Eats,FRA,Forward,356,0
1184000.0,27,Sporting CP,Primiera Liga,ESP,Defender,214,4
1182000.0,24,Hoffenheim,Bundesliga,GER,Midfilder,105,0
1178000.0,32,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,326,4
1177000.0,21,A. Bilbao,La Liga,ESP,Midfilder,130,0
1171000.0,23,Sporting CP,Primiera Liga,ENG,Forward,120,0
1170000.0,23,Brighton,Premier League,POL,Midfilder,173,20
1169000.0,25,OGC Nice,Ligue 1 Uber Eats,NED,Defender,220,1
1163000.0,27,Sevilla,La Liga,ESP,Midfilder,252,0
1163000.0,29,Sevilla,La Liga,MEX,Defender,298,71
1161000.0,32,Schalke 04,Bundesliga,GER,Midfilder,376,0
1161000.0,23,Schalke 04,Bundesliga,URU,Midfilder,88,0
1161000.0,28,Mainz 05,Bundesliga,GER,Defender,224,0
1161000.0,32,Schalke 04,Bundesliga,GER,Midfilder,354,0
1161000.0,29,Schalke 04,Bundesliga,GER,Midfilder,270,0
1161000.0,24,Bayer 04,Bundesliga,NED,Defender,64,3
1141000.0,31,Atletico Pamplona,La Liga,ESP,Goalkeeper,362,0
1141000.0,23,Villarreal,La Liga,NGA,Midfilder,139,24
1138000.0,29,Real Hispalis,La Liga,ESP,Forward,294,1
1137000.0,26,Eintracht Frankfurt,Bundesliga,COL,Forward,180,20
1135000.0,32,Montpellier,Ligue 1 Uber Eats,FRA,Defender,309,29
1134000.0,24,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,123,0
1134000.0,34,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,377,0
1134000.0,25,Salento,Serie A,FRA,Forward,185,0
1127000.0,22,Rennes,Ligue 1 Uber Eats,FRA,Forward,84,0
1121000.0,32,Brentford,Premier League,DEN,Defender,340,35
1121000.0,27,Sampdoria,Serie A,ITA,Defender,217,0
1121000.0,24,Sassuolo,Serie A,BRA,Defender,117,0
1121000.0,31,Hertha Berlin,Bundesliga,GER,Forward,351,0
1121000.0,24,VfB Stuttgart,Bundesliga,GRE,Defender,92,13
1121000.0,24,Salento,Serie A,MAR,Midfilder,120,0
1121000.0,35,Fiorentina,Serie A,ITA,Goalkeeper,446,28
1121000.0,22,Sassuolo,Serie A,ITA,Midfilder,149,3
1121000.0,26,Brighton,Premier League,GER,Forward,220,0
1121000.0,20,Rennes,Ligue 1 Uber Eats,FRA,Forward,69,0
1121000.0,39,Milan,Serie A,ITA,Goalkeeper,418,0
1121000.0,30,Verona,Serie A,ITA,Forward,386,7
1118000.0,30,Mainz 05,Bundesliga,AUT,Forward,332,18
1118000.0,26,Mainz 05,Bundesliga,DEN,Forward,190,1
1116000.0,25,Empoli,Serie A,ITA,Defender,134,0
1116000.0,27,A. Bilbao,La Liga,ESP,Defender,269,0
1116000.0,32,Udinese,Serie A,MKD,Forward,344,46
1116000.0,32,Verona,Serie A,BIH,Forward,410,15
1107000.0,24,Almeria,La Liga,COL,Forward,219,3
1104000.0,20,Real San Sebastian,La Liga,ESP,Midfilder,80,0
1104000.0,30,Sampdoria,Serie A,SRB,Midfilder,298,35
1103000.0,26,Fiorentina,Serie A,ARG,Defender,105,11
1103000.0,25,Atalanta,Serie A,DEN,Defender,179,29
1103000.0,25,Milan,Serie A,SEN,Defender,118,13
1103000.0,21,Torino,Serie A,ITA,Forward,49,1
1103000.0,29,OM,Ligue 1 Uber Eats,UKR,Midfilder,313,49
1103000.0,28,Udinese,Serie A,ESP,Forward,292,4
1103000.0,31,Spezia,Serie A,NED,Goalkeeper,293,11
1103000.0,23,Milan,Serie A,BEL,Defender,141,9
1103000.0,23,Lazio,Serie A,POR,Goalkeeper,66,0
1103000.0,31,Udinese,Serie A,ARG,Defender,342,19
1103000.0,30,Fiorentina,Serie A,ITA,Forward,269,0
1096000.0,21,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,86,0
1090000.0,23,R. Madrid,La Liga,UKR,Goalkeeper,77,7
1090000.0,24,A. Madrid,La Liga,ARG,Defender,112,17
1087000.0,24,FC Nantes,Ligue 1 Uber Eats,EGY,Forward,148,21
1086000.0,31,Brianza,Serie A,ITA,Defender,252,0
1086000.0,27,Brianza,Serie A,ITA,Defender,257,0
1078000.0,22,OGC Nice,Ligue 1 Uber Eats,FRA,Defender,81,0
1077000.0,34,Sporting CP,Primiera Liga,POR,Defender,293,19
1076000.0,34,FC Augsburg,Bundesliga,AUT,Midfilder,348,84
1075000.0,24,FC Augsburg,Bundesliga,GER,Midfilder,156,0
1075000.0,26,VfB Stuttgart,Bundesliga,GER,Defender,205,0
1070000.0,24,Vigo,La Liga,ESP,Midfilder,149,2
1069000.0,29,Sporting CP,Primiera Liga,POR,Forward,334,3
1069000.0,28,Udinese,Serie A,MAR,Defender,219,16
1053000.0,28,Real Hispalis,La Liga,POR,Goalkeeper,183,1
1052000.0,22,Rennes,Ligue 1 Uber Eats,BEL,Defender,73,3
1052000.0,22,Parthenope,Serie A,NOR,Defender,136,5
1051000.0,23,Everton,Premier League,POR,Defender,82,0
1051000.0,23,Benfica,Primiera Liga,POR,Midfilder,130,0
1050000.0,30,Villarreal,La Liga,ESP,Defender,232,4
1050000.0,30,Villarreal,La Liga,ESP,Midfilder,423,0
1048000.0,25,Sampdoria,Serie A,NED,Forward,148,0
1047000.0,22,AS Monaco,Ligue 1 Uber Eats,MLI,Midfilder,99,15
1040000.0,23,Brentford,Premier League,DEN,Defender,64,0
1040000.0,22,Nottm Forest,Premier League,FRA,Defender,80,0
1040000.0,29,Man City,Premier League,GER,Goalkeeper,266,0
1040000.0,18,Leeds,Premier League,ITA,Forward,65,4
1040000.0,32,Nottm Forest,Premier League,ENG,Defender,368,0
1040000.0,27,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,228,0
1040000.0,29,Aston Villa,Premier League,ENG,Goalkeeper,120,0
1040000.0,35,Nottm Forest,Premier League,WAL,Goalkeeper,322,104
1040000.0,24,Girona,La Liga,VEN,Midfilder,171,25
1040000.0,18,Chelsea,Premier League,USA,Goalkeeper,43,0
1040000.0,25,Leicester,Premier League,DEN,Goalkeeper,151,0
1040000.0,25,Brighton,Premier League,JPN,Midfilder,151,7
1040000.0,20,Leeds,Premier League,ENG,Midfilder,13,0
1040000.0,23,Angers SCO,Ligue 1 Uber Eats,TUN,Defender,51,0
1040000.0,25,AJ Auxerre,Ligue 1 Uber Eats,SCO,Midfilder,183,0
1037000.0,23,Capitoline,Serie A,SRB,Goalkeeper,62,1
1036000.0,22,Valencia,La Liga,BRA,Forward,115,0
1035000.0,23,Hoffenheim,Bundesliga,FRA,Defender,85,0
1035000.0,29,Hoffenheim,Bundesliga,USA,Defender,284,43
1035000.0,21,Empoli,Serie A,URU,Forward,24,1
1035000.0,27,Sevilla,La Liga,NED,Defender,200,4
1035000.0,31,FC Augsburg,Bundesliga,NED,Defender,318,0
1034000.0,27,Getafe,La Liga,SRB,Midfilder,242,39
1032000.0,30,Union Berlin,Bundesliga,GER,Defender,325,0
1032000.0,34,VfL Wolfsburg,Bundesliga,AUT,Goalkeeper,266,7
1032000.0,21,AS Monaco,Ligue 1 Uber Eats,NED,Forward,111,1
1032000.0,29,1. FC Koln,Bundesliga,AUT,Midfilder,344,20
1032000.0,30,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,293,0
1032000.0,22,Bayer 04,Bundesliga,FRA,Forward,64,0
1032000.0,30,Schalke 04,Bundesliga,POL,Defender,279,7
1032000.0,22,Sevilla,La Liga,FRA,Defender,54,0
1032000.0,23,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,59,0
1032000.0,27,Rennes,Ligue 1 Uber Eats,NOR,Defender,206,22
1032000.0,26,Mallorca,La Liga,ZIM,Forward,162,22
1032000.0,24,BVT,Primiera Liga,USA,Defender,123,27
