@relation R_data_frame

@attribute Year numeric
@attribute Station {Ambagan_ctg,Barisal,Bhola,Bogra,Chandpur,Chittagong,Comilla,CoxsBazar,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,M.court,Madaripur,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf}
@attribute Month {April,August,December,February,January,July,June,March,May,November,October,September}
@attribute Rainfall numeric

@data
1970,Dhaka,June,276
1970,Dhaka,July,496
1970,Dhaka,August,280
1970,Dhaka,September,200
1970,Dhaka,October,427
1970,Dhaka,November,32
1970,Dhaka,December,0
1970,Dinajpur,January,42
1970,Dinajpur,February,0
1970,Dinajpur,March,1
1970,Dinajpur,April,76
1970,Dinajpur,May,74
1970,Dinajpur,June,253
1970,Dinajpur,July,586
1970,Dinajpur,August,126
1970,Dinajpur,September,217
1970,Dinajpur,October,48
1970,Dinajpur,November,0
1970,Dinajpur,December,0
1970,Faridpur,January,12
1970,Faridpur,February,15
1970,Faridpur,March,25
1970,Faridpur,April,68
1970,Faridpur,May,173
1970,Faridpur,June,308
1970,Faridpur,July,382
1970,Faridpur,August,291
1970,Faridpur,September,433
1970,Faridpur,October,413
1970,Faridpur,November,32
1970,Faridpur,December,0
1970,Hatiya,January,0
1970,Hatiya,February,64
1970,Hatiya,March,6
1970,Hatiya,April,44
1970,Hatiya,May,131
1970,Hatiya,June,468
1970,Hatiya,July,584
1970,Hatiya,August,512
1970,Hatiya,September,521
1970,Hatiya,October,389
1970,Hatiya,November,0
1970,Hatiya,December,0
1970,Ishurdi,January,73
1970,Ishurdi,February,25
1970,Ishurdi,March,30
1970,Ishurdi,April,1
1970,Ishurdi,May,116
1970,Ishurdi,June,236
1970,Ishurdi,July,168
1970,Ishurdi,August,378
1970,Ishurdi,September,340
1970,Ishurdi,October,364
1970,Ishurdi,November,0
1970,Ishurdi,December,0
1970,Jessore,January,31
1970,Jessore,February,30
1970,Jessore,March,45
1970,Jessore,April,87
1970,Jessore,May,29
1970,Jessore,June,352
1970,Jessore,July,415
1970,Jessore,August,280
1970,Jessore,September,490
1970,Jessore,October,339
1970,Jessore,November,10
1970,Jessore,December,0
1970,Khulna,January,0
1970,Khulna,February,0
1970,Khulna,March,0
1970,Khulna,April,51
1970,Khulna,May,129
1970,Khulna,June,548
1970,Khulna,July,634
1970,Khulna,August,270
1970,Khulna,September,115
1970,Khulna,October,190
1970,Khulna,November,13
1970,Khulna,December,0
1970,M.court,January,16
1970,M.court,February,65
1970,M.court,March,5
1970,M.court,April,217
1970,M.court,May,127
1970,M.court,June,574
1970,M.court,July,692
1970,M.court,August,696
1970,M.court,September,554
1970,M.court,October,569
1970,M.court,November,151
1970,M.court,December,0
1970,Mymensingh,January,23
1970,Mymensingh,February,0
1970,Mymensingh,March,6
1970,Mymensingh,April,117
1970,Mymensingh,May,176
1970,Mymensingh,June,570
1970,Mymensingh,July,323
1970,Mymensingh,August,207
1970,Mymensingh,September,242
1970,Mymensingh,October,274
1970,Mymensingh,November,8
1970,Mymensingh,December,0
1970,Rangamati,January,6
1970,Rangamati,February,54
1970,Rangamati,March,15
1970,Rangamati,April,38
1970,Rangamati,May,111
1970,Rangamati,June,274
1970,Rangamati,July,1276
1970,Rangamati,August,326
1970,Rangamati,September,200
1970,Rangamati,October,155
1970,Rangamati,November,109
1970,Rangamati,December,0
1970,Rangpur,January,29
1970,Rangpur,February,6
1970,Rangpur,March,5
1970,Rangpur,April,39
1970,Rangpur,May,162
1970,Rangpur,June,527
1970,Rangpur,July,503
1970,Rangpur,August,440
1970,Rangpur,September,242
1970,Rangpur,October,39
1970,Rangpur,November,5
1970,Rangpur,December,0
1970,Sandwip,January,0
1970,Sandwip,February,27
1970,Sandwip,March,57
1970,Sandwip,April,231
1970,Sandwip,May,150
1970,Sandwip,June,327
1970,Sandwip,July,812
1970,Sandwip,August,597
1970,Sandwip,September,282
1970,Sandwip,October,428
1970,Sandwip,November,148
1970,Sandwip,December,0
1970,Satkhira,January,0
1970,Satkhira,February,47
1970,Satkhira,March,22
1970,Satkhira,April,4
1970,Satkhira,May,59
1970,Satkhira,June,296
1970,Satkhira,July,356
1970,Satkhira,August,274
1970,Satkhira,September,377
1970,Satkhira,October,0
1970,Satkhira,November,9
1970,Satkhira,December,0
1970,Srimangal,January,36
1970,Srimangal,February,6
1970,Srimangal,March,97
1970,Srimangal,April,79
1970,Srimangal,May,79
1970,Srimangal,June,418
1970,Srimangal,July,657
1970,Srimangal,August,267
1970,Srimangal,September,420
1970,Srimangal,October,213
1970,Srimangal,November,31
1970,Srimangal,December,0
1970,Sylhet,January,62
1970,Sylhet,February,65
1970,Sylhet,March,60
1970,Sylhet,April,466
1970,Sylhet,May,851
1970,Sylhet,June,955
1970,Sylhet,July,1076
1970,Sylhet,August,662
1970,Sylhet,September,622
1970,Sylhet,October,608
1970,Sylhet,November,47
1970,Sylhet,December,0
1971,Barisal,January,7
1971,Barisal,February,1
1971,Barisal,March,0
1971,Barisal,April,104
1971,Barisal,May,267
1971,Barisal,June,503
1971,Barisal,July,250
1971,Barisal,August,233
1971,Barisal,September,394
1971,Barisal,October,152
1971,Barisal,November,114
1971,Barisal,December,0
1971,Bhola,January,0
1971,Bhola,February,0
1971,Bhola,March,0
1971,Bhola,April,0
1971,Bhola,May,247
1971,Bhola,June,584
1971,Bhola,July,409
1971,Bhola,August,381
1971,Bhola,September,409
1971,Bhola,October,107
1971,Bhola,November,1283
1971,Bhola,December,0
1971,Bogra,January,13
1971,Bogra,February,4
1971,Bogra,March,8
1971,Bogra,April,0
1971,Bogra,May,0
1971,Bogra,June,0
1971,Bogra,July,344
1971,Bogra,August,312
1971,Bogra,September,392
1971,Bogra,October,128
1971,Bogra,November,41
1971,Bogra,December,0
1971,Chittagong,January,10
1971,Chittagong,February,0
1971,Chittagong,March,0
1971,Chittagong,April,2
1971,Chittagong,May,63
1971,Chittagong,June,853
1971,Chittagong,July,949
1971,Chittagong,August,707
1971,Chittagong,September,184
1971,Chittagong,October,59
1971,Chittagong,November,0
1971,Chittagong,December,0
1971,Comilla,January,5
1971,Comilla,February,10
1971,Comilla,March,0
1971,Comilla,April,0
1971,Comilla,May,46
1971,Comilla,June,123
1971,Comilla,July,291
1971,Comilla,August,307
1971,Comilla,September,172
1971,Comilla,October,166
1971,Comilla,November,57
1971,Comilla,December,0
1971,CoxsBazar,January,4
1971,CoxsBazar,February,0
1971,CoxsBazar,March,1
1971,CoxsBazar,April,5
1971,CoxsBazar,May,155
1971,CoxsBazar,June,1179
1971,CoxsBazar,July,1518
1971,CoxsBazar,August,680
1971,CoxsBazar,September,112
1971,CoxsBazar,October,163
1971,CoxsBazar,November,91
1971,CoxsBazar,December,0
1971,Dhaka,January,3
1971,Dhaka,February,28
1971,Dhaka,March,0
1971,Dhaka,April,0
1971,Dhaka,May,344
1971,Dhaka,June,339
1971,Dhaka,July,550
1971,Dhaka,August,540
1971,Dhaka,September,259
1971,Dhaka,October,118
1971,Dhaka,November,95
1971,Dhaka,December,0
1971,Dinajpur,January,8
1971,Dinajpur,February,11
1971,Dinajpur,March,0
1971,Dinajpur,April,0
1971,Dinajpur,May,0
1971,Dinajpur,June,0
1971,Dinajpur,July,0
1971,Dinajpur,August,295
1971,Dinajpur,September,94
1971,Dinajpur,October,302
1971,Dinajpur,November,0
1971,Dinajpur,December,0
1971,Faridpur,January,12
1971,Faridpur,February,9
1971,Faridpur,March,0
1971,Faridpur,April,0
1971,Faridpur,May,0
1971,Faridpur,June,0
1971,Faridpur,July,278
1971,Faridpur,August,538
1971,Faridpur,September,292
1971,Faridpur,October,135
1971,Faridpur,November,66
1971,Faridpur,December,0
1971,Hatiya,January,0
1971,Hatiya,February,0
1971,Hatiya,March,0
1971,Hatiya,April,0
1971,Hatiya,April,0
1971,Hatiya,May,0
1971,Hatiya,June,436
1971,Hatiya,July,790
1971,Hatiya,August,989
1971,Hatiya,September,430
1971,Hatiya,October,0
1971,Hatiya,November,0
1971,Ishurdi,January,0
1971,Ishurdi,February,0
1971,Ishurdi,March,0
1971,Ishurdi,April,0
1971,Ishurdi,May,0
1971,Ishurdi,June,0
1971,Ishurdi,July,0
1971,Ishurdi,August,525
1971,Ishurdi,September,0
1971,Ishurdi,October,0
1971,Ishurdi,November,0
1971,Ishurdi,December,0
1971,Jessore,January,16
1971,Jessore,February,0
1971,Jessore,March,0
1971,Jessore,April,0
1971,Jessore,May,0
1971,Jessore,June,205
1971,Jessore,July,489
1971,Jessore,August,500
1971,Jessore,September,313
1971,Jessore,October,0
1971,Jessore,November,0
1971,Jessore,December,0
1971,Khulna,January,0
1971,Khulna,February,0
1971,Khulna,March,0
1971,Khulna,April,0
1971,Khulna,May,37
1971,Khulna,June,63
1971,Khulna,July,48
1971,Khulna,August,135
1971,Khulna,September,80
1971,Khulna,October,106
1971,Khulna,November,6
1971,Khulna,December,0
1971,M.court,January,0
1971,M.court,February,0
1971,M.court,March,0
1971,M.court,April,0
1971,M.court,May,282
1971,M.court,June,615
1971,M.court,July,793
1971,M.court,August,870
1971,M.court,September,425
1971,M.court,October,230
1971,M.court,November,172
1971,M.court,December,0
1971,Mymensingh,January,0
1971,Mymensingh,February,0
1971,Mymensingh,March,0
1971,Mymensingh,April,0
1971,Mymensingh,May,0
1971,Mymensingh,June,0
1971,Mymensingh,July,0
1971,Mymensingh,August,369
1971,Mymensingh,September,897
1971,Mymensingh,October,445
1971,Mymensingh,November,58
1971,Mymensingh,December,0
1971,Rajshahi,January,22
1971,Rajshahi,February,14
1971,Rajshahi,March,0
1971,Rajshahi,April,0
1971,Rajshahi,May,0
1971,Rajshahi,June,277
1971,Rajshahi,July,452
1971,Rajshahi,August,452
1971,Rajshahi,September,264
1971,Rajshahi,October,81
1971,Rajshahi,November,86
1971,Rajshahi,December,0
1971,Rangamati,January,5
1971,Rangamati,February,0
1971,Rangamati,March,0
1971,Rangamati,April,103
1971,Rangamati,May,133
1971,Rangamati,June,693
1971,Rangamati,July,399
1971,Rangamati,August,507
1971,Rangamati,September,164
1971,Rangamati,October,72
1971,Rangamati,November,41
1971,Rangamati,December,1
1971,Rangpur,January,12
1971,Rangpur,February,2
1971,Rangpur,March,0
1971,Rangpur,April,0
1971,Rangpur,May,0
1971,Rangpur,June,121
1971,Rangpur,July,298
1971,Rangpur,August,438
1971,Rangpur,September,403
1971,Rangpur,October,250
1971,Rangpur,November,49
1971,Rangpur,December,0
1971,Sandwip,January,4
1971,Sandwip,February,1
1971,Sandwip,March,0
1971,Sandwip,April,159
1971,Sandwip,May,263
1971,Sandwip,June,922
1971,Sandwip,July,780
1971,Sandwip,August,1113
1971,Sandwip,September,273
1971,Sandwip,October,260
1971,Sandwip,November,175
1971,Sandwip,December,0
1971,Satkhira,January,0
1971,Satkhira,February,0
1971,Satkhira,March,0
1971,Satkhira,April,0
1971,Satkhira,May,93
1971,Satkhira,June,401
1971,Satkhira,July,598
1971,Satkhira,August,0
1971,Satkhira,September,263
1971,Satkhira,October,198
1971,Satkhira,November,0
1971,Satkhira,December,0
1971,Srimangal,January,4
1971,Srimangal,February,0
1971,Srimangal,March,0
1971,Srimangal,April,0
1971,Srimangal,May,0
1971,Srimangal,June,0
1971,Srimangal,July,95
1971,Srimangal,August,212
1971,Srimangal,September,116
1971,Srimangal,October,249
1971,Srimangal,November,99
1971,Srimangal,December,0
1971,Sylhet,January,22
1971,Sylhet,February,7
1971,Sylhet,March,62
1971,Sylhet,April,0
1971,Sylhet,May,11
1971,Sylhet,June,710
1971,Sylhet,July,510
1971,Sylhet,August,571
1971,Sylhet,September,349
1971,Sylhet,October,259
1971,Sylhet,November,85
1971,Sylhet,December,0
1972,Barisal,January,0
1972,Barisal,February,58
1972,Barisal,March,0
1972,Barisal,April,121
1972,Barisal,May,130
1972,Barisal,June,262
1972,Barisal,July,248
1972,Barisal,August,458
1972,Barisal,September,90
1972,Barisal,October,29
1972,Barisal,November,0
1972,Barisal,December,0
1972,Bhola,January,0
1972,Bhola,February,13
1972,Bhola,March,0
1972,Bhola,April,59
1972,Bhola,May,64
1972,Bhola,June,512
1972,Bhola,July,242
1972,Bhola,August,586
1972,Bhola,September,42
1972,Bhola,October,167
1972,Bhola,November,0
1972,Bhola,December,0
1972,Bogra,January,3
1972,Bogra,February,16
1972,Bogra,March,14
1972,Bogra,April,6
1972,Bogra,May,134
1972,Bogra,June,268
1972,Bogra,July,307
1972,Bogra,August,261
1972,Bogra,September,137
1972,Bogra,October,101
1972,Bogra,November,0
1972,Bogra,December,0
1972,Chittagong,January,0
1972,Chittagong,February,2
1972,Chittagong,March,0
1972,Chittagong,April,87
1972,Chittagong,May,15
1972,Chittagong,June,457
1972,Chittagong,July,372
1972,Chittagong,August,565
1972,Chittagong,September,0
1972,Chittagong,October,88
1972,Chittagong,November,0
1972,Chittagong,December,0
1972,Comilla,January,0
1972,Comilla,February,0
1972,Comilla,March,15
1972,Comilla,April,117
1972,Comilla,May,252
1972,Comilla,June,369
1972,Comilla,July,206
1972,Comilla,August,385
1972,Comilla,September,69
1972,Comilla,October,57
1972,Comilla,November,1
1972,Comilla,December,0
1972,CoxsBazar,January,0
1972,CoxsBazar,February,4
1972,CoxsBazar,March,0
1972,CoxsBazar,April,52
1972,CoxsBazar,May,124
1972,CoxsBazar,June,288
1972,CoxsBazar,July,324
1972,CoxsBazar,August,839
1972,CoxsBazar,September,56
1972,CoxsBazar,October,440
1972,CoxsBazar,November,1
1972,CoxsBazar,December,0
1972,Dhaka,January,0
1972,Dhaka,February,11
1972,Dhaka,March,12
1972,Dhaka,April,248
1972,Dhaka,May,340
1972,Dhaka,June,353
1972,Dhaka,July,249
1972,Dhaka,August,380
1972,Dhaka,September,110
1972,Dhaka,October,105
1972,Dhaka,November,0
1972,Dhaka,December,0
1972,Dinajpur,January,0
1972,Dinajpur,February,0
1972,Dinajpur,March,4
1972,Dinajpur,April,0
1972,Dinajpur,May,0
1972,Dinajpur,June,171
1972,Dinajpur,July,257
1972,Dinajpur,August,371
1972,Dinajpur,September,130
1972,Dinajpur,October,52
1972,Dinajpur,November,0
1972,Dinajpur,December,0
1972,Faridpur,January,0
1972,Faridpur,February,70
1972,Faridpur,March,2
1972,Faridpur,April,177
1972,Faridpur,May,257
1972,Faridpur,June,246
1972,Faridpur,July,203
1972,Faridpur,August,366
1972,Faridpur,September,259
1972,Faridpur,October,62
1972,Faridpur,November,0
1972,Faridpur,December,0
1972,Ishurdi,January,0
1972,Ishurdi,February,0
1972,Ishurdi,March,0
1972,Ishurdi,April,27
1972,Ishurdi,May,130
1972,Ishurdi,June,159
1972,Ishurdi,July,217
1972,Ishurdi,August,228
1972,Ishurdi,September,138
1972,Ishurdi,October,45
1972,Ishurdi,November,0
1972,Ishurdi,December,0
1972,Jessore,January,0
1972,Jessore,February,4
1972,Jessore,March,7
1972,Jessore,April,37
1972,Jessore,May,22
1972,Jessore,June,110
1972,Jessore,July,169
1972,Jessore,August,372
1972,Jessore,September,131
1972,Jessore,October,17
1972,Jessore,November,1
1972,Jessore,December,0
1972,Khulna,January,0
1972,Khulna,February,0
1972,Khulna,March,0
1972,Khulna,April,64
1972,Khulna,May,121
1972,Khulna,June,0
1972,Khulna,July,137
1972,Khulna,August,0
1972,Khulna,September,0
1972,Khulna,October,0
1972,Khulna,November,0
1972,Khulna,December,0
1972,M.court,January,0
1972,M.court,February,59
1972,M.court,March,10
1972,M.court,April,46
1972,M.court,May,123
1972,M.court,June,470
1972,M.court,July,454
1972,M.court,August,722
1972,M.court,September,73
1972,M.court,October,88
1972,M.court,November,6
1972,M.court,December,0
1972,Mymensingh,January,0
1972,Mymensingh,February,20
1972,Mymensingh,March,35
1972,Mymensingh,April,89
1972,Mymensingh,May,127
1972,Mymensingh,June,625
1972,Mymensingh,July,418
1972,Mymensingh,August,130
1972,Mymensingh,September,204
1972,Mymensingh,October,6
1972,Mymensingh,November,0
1972,Mymensingh,December,0
1972,Rajshahi,January,10
1972,Rajshahi,February,13
1972,Rajshahi,March,0
1972,Rajshahi,April,19
1972,Rajshahi,May,88
1972,Rajshahi,June,208
1972,Rajshahi,July,109
1972,Rajshahi,August,248
1972,Rajshahi,September,175
1972,Rajshahi,October,51
1972,Rajshahi,November,0
1972,Rajshahi,December,0
1972,Rangamati,January,0
1972,Rangamati,February,2
1972,Rangamati,March,0
1972,Rangamati,April,37
1972,Rangamati,May,105
1972,Rangamati,June,450
1972,Rangamati,July,315
1972,Rangamati,August,309
1972,Rangamati,September,100
1972,Rangamati,October,53
1972,Rangamati,November,4
1972,Rangamati,December,0
1972,Rangpur,January,4
1972,Rangpur,February,42
1972,Rangpur,March,53
1972,Rangpur,April,31
1972,Rangpur,May,100
1972,Rangpur,June,239
1972,Rangpur,July,325
1972,Rangpur,August,0
1972,Rangpur,September,201
1972,Rangpur,October,118
1972,Rangpur,November,1
1972,Rangpur,December,0
1972,Sandwip,January,0
1972,Sandwip,February,16
1972,Sandwip,March,14
1972,Sandwip,April,45
1972,Sandwip,May,253
1972,Sandwip,June,1055
1972,Sandwip,July,624
1972,Sandwip,August,1029
1972,Sandwip,September,148
1972,Sandwip,October,326
1972,Sandwip,November,3
1972,Sandwip,December,0
1972,Satkhira,January,0
1972,Satkhira,February,15
1972,Satkhira,March,0
1972,Satkhira,April,8
1972,Satkhira,May,0
1972,Satkhira,June,0
1972,Satkhira,July,0
1972,Satkhira,August,0
1972,Satkhira,September,0
1972,Satkhira,October,0
1972,Satkhira,November,0
1972,Satkhira,December,0
1972,Srimangal,January,0
1972,Srimangal,February,42
1972,Srimangal,March,90
1972,Srimangal,April,234
1972,Srimangal,May,269
1972,Srimangal,June,0
1972,Srimangal,July,447
1972,Srimangal,August,202
1972,Srimangal,September,191
1972,Srimangal,October,36
1972,Srimangal,November,2
1972,Srimangal,December,0
1972,Sylhet,January,4
1972,Sylhet,February,40
1972,Sylhet,March,110
1972,Sylhet,April,445
1972,Sylhet,May,384
1972,Sylhet,June,829
1972,Sylhet,July,826
1972,Sylhet,August,479
1972,Sylhet,September,353
1972,Sylhet,October,302
1972,Sylhet,November,0
1972,Sylhet,December,0
1973,Barisal,January,0
1973,Barisal,February,12
1973,Barisal,March,81
1973,Barisal,April,42
1973,Barisal,May,508
1973,Barisal,June,502
1973,Barisal,July,392
1973,Barisal,August,266
1973,Barisal,September,398
1973,Barisal,October,308
1973,Barisal,November,171
1973,Barisal,December,197
1973,Bhola,January,0
1973,Bhola,February,0
1973,Bhola,March,99
1973,Bhola,April,53
1973,Bhola,May,500
1973,Bhola,June,0
1973,Bhola,July,445
1973,Bhola,August,305
1973,Bhola,September,0
1973,Bhola,October,0
1973,Bhola,November,197
1973,Bhola,December,151
1973,Bogra,January,12
1973,Bogra,February,63
1973,Bogra,March,10
1973,Bogra,April,95
1973,Bogra,May,259
1973,Bogra,June,835
1973,Bogra,July,350
1973,Bogra,August,194
1973,Bogra,September,584
1973,Bogra,October,60
1973,Bogra,November,27
1973,Bogra,December,27
1973,Chandpur,January,0
1973,Chandpur,February,0
1973,Chandpur,March,0
1973,Chandpur,April,54
1973,Chandpur,May,454
1973,Chandpur,June,182
1973,Chandpur,July,489
1973,Chandpur,August,53
1973,Chandpur,September,205
1973,Chandpur,October,157
1973,Chandpur,November,0
1973,Chandpur,December,0
1973,Chittagong,January,5
1973,Chittagong,February,8
1973,Chittagong,March,14
1973,Chittagong,April,142
1973,Chittagong,May,457
1973,Chittagong,June,407
1973,Chittagong,July,407
1973,Chittagong,August,276
1973,Chittagong,September,551
1973,Chittagong,October,225
1973,Chittagong,November,259
1973,Chittagong,December,40
1973,Comilla,January,10
1973,Comilla,February,30
1973,Comilla,March,53
1973,Comilla,April,72
1973,Comilla,May,445
1973,Comilla,June,489
1973,Comilla,July,332
1973,Comilla,August,138
1973,Comilla,September,127
1973,Comilla,October,198
1973,Comilla,November,160
1973,Comilla,December,0
1973,CoxsBazar,January,3
1973,CoxsBazar,February,4
1973,CoxsBazar,March,2
1973,CoxsBazar,April,6
1973,CoxsBazar,May,496
1973,CoxsBazar,June,790
1973,CoxsBazar,July,874
1973,CoxsBazar,August,463
1973,CoxsBazar,September,382
1973,CoxsBazar,October,242
1973,CoxsBazar,November,248
1973,CoxsBazar,December,13
1973,Dhaka,January,0
1973,Dhaka,February,21
1973,Dhaka,March,32
1973,Dhaka,April,131
1973,Dhaka,May,621
1973,Dhaka,June,414
1973,Dhaka,July,0
1973,Dhaka,August,238
1973,Dhaka,September,348
1973,Dhaka,October,128
1973,Dhaka,November,64
1973,Dhaka,December,86
1973,Faridpur,January,0
1973,Faridpur,February,9
1973,Faridpur,March,40
1973,Faridpur,April,250
1973,Faridpur,May,486
1973,Faridpur,June,431
1973,Faridpur,July,203
1973,Faridpur,August,472
1973,Faridpur,September,397
1973,Faridpur,October,207
1973,Faridpur,November,60
1973,Faridpur,December,44
1973,Hatiya,January,0
1973,Hatiya,February,0
1973,Hatiya,March,0
1973,Hatiya,April,0
1973,Hatiya,May,384
1973,Hatiya,June,335
1973,Hatiya,July,251
1973,Hatiya,August,366
1973,Hatiya,September,385
1973,Hatiya,October,135
1973,Hatiya,November,319
1973,Hatiya,December,54
1973,Ishurdi,January,25
1973,Ishurdi,February,42
1973,Ishurdi,March,27
1973,Ishurdi,April,100
1973,Ishurdi,May,470
1973,Ishurdi,June,531
1973,Ishurdi,July,186
1973,Ishurdi,August,276
1973,Ishurdi,September,563
1973,Ishurdi,October,181
1973,Ishurdi,November,27
1973,Ishurdi,December,58
1973,Jessore,January,0
1973,Jessore,February,10
1973,Jessore,March,75
1973,Jessore,April,32
1973,Jessore,May,263
1973,Jessore,June,361
1973,Jessore,July,214
1973,Jessore,August,224
1973,Jessore,September,226
1973,Jessore,October,131
1973,Jessore,November,45
1973,Jessore,December,97
1973,Khulna,January,0
1973,Khulna,February,0
1973,Khulna,March,0
1973,Khulna,April,22
1973,Khulna,May,373
1973,Khulna,June,250
1973,Khulna,July,107
1973,Khulna,August,110
1973,Khulna,September,39
1973,Khulna,October,0
1973,Khulna,November,0
1973,Khulna,December,4
1973,M.court,January,0
1973,M.court,February,4
1973,M.court,March,89
1973,M.court,April,85
1973,M.court,May,470
1973,M.court,June,428
1973,M.court,July,570
1973,M.court,August,566
1973,M.court,September,327
1973,M.court,October,71
1973,M.court,November,187
1973,M.court,December,79
1973,Mymensingh,January,24
1973,Mymensingh,February,15
1973,Mymensingh,March,0
1973,Mymensingh,April,114
1973,Mymensingh,May,284
1973,Mymensingh,June,262
1973,Mymensingh,July,162
1973,Mymensingh,August,121
1973,Mymensingh,September,0
1973,Mymensingh,October,0
1973,Mymensingh,November,0
1973,Mymensingh,December,0
1973,Patuakhali,January,0
1973,Patuakhali,February,0
1973,Patuakhali,March,0
1973,Patuakhali,April,0
1973,Patuakhali,May,0
1973,Patuakhali,June,0
1973,Patuakhali,July,0
1973,Patuakhali,August,316
1973,Patuakhali,September,328
1973,Patuakhali,October,153
1973,Patuakhali,November,185
1973,Patuakhali,December,64
1973,Rajshahi,January,11
1973,Rajshahi,February,17
1973,Rajshahi,March,0
1973,Rajshahi,April,46
1973,Rajshahi,May,186
1973,Rajshahi,June,491
1973,Rajshahi,July,271
1973,Rajshahi,August,137
1973,Rajshahi,September,586
1973,Rajshahi,October,145
1973,Rajshahi,November,5
1973,Rajshahi,December,19
1973,Rangamati,January,0
1973,Rangamati,February,0
1973,Rangamati,March,35
1973,Rangamati,April,181
1973,Rangamati,May,377
1973,Rangamati,June,453
1973,Rangamati,July,608
1973,Rangamati,August,481
1973,Rangamati,September,133
1973,Rangamati,October,138
1973,Rangamati,November,126
1973,Rangamati,December,2
1973,Rangpur,January,8
1973,Rangpur,February,7
1973,Rangpur,March,8
1973,Rangpur,April,23
1973,Rangpur,May,392
1973,Rangpur,June,744
1973,Rangpur,July,192
1973,Rangpur,August,94
1973,Rangpur,September,531
1973,Rangpur,October,222
1973,Rangpur,November,12
1973,Rangpur,December,4
1973,Sandwip,January,2
1973,Sandwip,February,20
1973,Sandwip,March,95
1973,Sandwip,April,206
1973,Sandwip,May,620
1973,Sandwip,June,580
1973,Sandwip,July,717
1973,Sandwip,August,854
1973,Sandwip,September,634
1973,Sandwip,October,65
1973,Sandwip,November,356
1973,Sandwip,December,41
1973,Satkhira,January,0
1973,Satkhira,February,1
1973,Satkhira,March,0
1973,Satkhira,April,42
1973,Satkhira,May,171
1973,Satkhira,June,186
1973,Satkhira,July,290
1973,Satkhira,August,320
1973,Satkhira,September,295
1973,Satkhira,October,153
1973,Satkhira,November,102
1973,Satkhira,December,134
1973,Srimangal,January,0
1973,Srimangal,February,108
1973,Srimangal,March,16
1973,Srimangal,April,318
1973,Srimangal,May,559
1973,Srimangal,June,553
1973,Srimangal,July,378
1973,Srimangal,August,181
1973,Srimangal,September,150
1973,Srimangal,October,80
