P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,price
57.0,0.0,0.5354839,0.7368421,0.0,0.1428571,5.68,1.0,14999.0
5779.0,0.0499285,0.5727841,0.575186,0.0707735,0.2415902,6.7792262,0.7594937,144300.0
2503.0,0.0026348,0.5060601,0.6184579,0.0015981,0.0642202,5.9846041,0.4285714,47700.0
320.0,0.0,0.4563233,0.69375,0.0,0.4761905,6.1467181,0.8,17000.0
124.0,0.0,0.445614,0.6612903,0.0,0.3076923,5.3707865,0.75,14999.0
947.0,0.0158785,0.4798067,0.7550158,0.0232313,0.0404624,5.2301325,0.2857143,46700.0
816.0,0.0027716,0.4706208,0.5968137,0.0134804,0.1538462,6.4647887,0.5,34900.0
44.0,0.0,0.5740741,0.7045455,0.0,0.0425532,5.0512821,0.5,28800.0
142.0,0.0,0.5314465,0.6197183,0.0140845,0.2857143,6.1958763,0.5,37900.0
542.0,0.0,0.4752542,0.7693727,0.0,0.2876712,5.3967517,0.4761905,23400.0
674.0,0.0037152,0.4897833,0.6513353,0.3590504,0.1604938,5.8218527,0.3846154,25300.0
1224.0,0.000339,0.4840678,0.6756536,0.000817,0.1354167,6.1400689,0.6923077,31300.0
956.0,0.0008365,0.4772062,0.6757322,0.0,0.0597015,6.7149533,0.5,29600.0
1099.0,0.0017895,0.4183966,0.6706096,0.0100091,0.1194969,5.6487119,0.7894737,17800.0
843.0,0.0046154,0.4702564,0.6298932,0.0118624,0.0888889,7.027668,0.75,47500.0
11164.0,0.0289528,0.5049677,0.5391437,0.0120029,0.1732419,6.3079901,0.6237624,108400.0
247.0,0.0016529,0.4809917,0.6963563,0.0,0.0714286,5.8056872,1.0,14999.0
64.0,0.0,0.5,0.734375,0.15625,0.2,6.2931034,0.6666667,28800.0
2963.0,0.0429841,0.4124278,0.9719879,0.3604455,0.0340909,4.5454545,0.0,44400.0
122.0,0.0,0.5555556,0.7459016,0.0,0.0377358,6.3944954,0.3181818,86100.0
5335.0,0.0053847,0.5144674,0.7111528,0.0596064,0.1316372,5.7340337,0.7815126,24200.0
5019.0,0.010047,0.5730019,0.861327,0.0193266,0.6599424,6.7745211,0.3449782,84100.0
4708.0,0.0174025,0.5688882,0.8092608,0.0167799,0.3005464,6.6361955,0.2,69900.0
172.0,0.0,0.4837963,0.7034884,0.0,0.0,6.0797101,0.0,24300.0
3916.0,0.0037393,0.5417888,0.7249745,0.0010215,0.2,6.7906683,0.2083333,82100.0
4616.0,0.0606675,0.4299918,0.7952773,0.0030329,0.2312925,5.5228216,0.4705882,61300.0
460.0,0.0007843,0.5121569,0.7630435,0.0,0.2857143,6.5630252,0.25,81700.0
670.0,0.0306849,0.5441096,0.6880597,0.0074627,0.1730769,6.2613333,0.2222222,169500.0
339.0,0.0,0.5049505,0.6961652,0.0058997,0.1666667,6.385214,0.6666667,20500.0
37.0,0.0,0.4660194,0.6756757,0.0,0.1666667,6.1785714,1.0,17500.0
202.0,0.0,0.4111349,0.6435644,0.0,0.3333333,6.7549669,0.5714286,15400.0
287.0,0.001328,0.4767596,0.728223,0.0,0.3684211,5.7678571,0.4285714,21100.0
1076.0,0.005992,0.5559254,0.7202602,0.0037175,0.4418605,6.0694215,0.0526316,86200.0
87.0,0.0,0.4579832,0.7241379,0.4367816,0.0,5.2222222,0.0,14999.0
515.0,0.001497,0.4266467,0.6427184,0.1825243,0.11,5.4433962,0.5454545,23600.0
1051.0,0.0035931,0.3681592,0.679353,0.0057088,0.225,6.4295775,0.2222222,96800.0
214.0,0.0,0.4463087,0.7803738,0.0046729,0.1578947,6.0662252,0.3333333,23300.0
48.0,0.0,0.4634146,0.7083333,0.0416667,0.1428571,6.2285714,1.0,30800.0
300.0,0.0040761,0.4565217,0.68,0.0033333,0.2222222,5.3076923,0.5,16900.0
740.0,0.0146687,0.5695498,0.7594595,0.0054054,0.2277228,6.1204819,0.3478261,79000.0
470.0,0.0045045,0.4292149,0.812766,0.0,0.037037,6.6102151,0.375,57200.0
879.0,0.0019194,0.5520154,0.8100114,0.0,0.15,6.1214953,0.5,43400.0
286.0,0.0,0.5257732,0.5909091,0.0,0.125,6.2681564,1.0,38100.0
654.0,0.0067385,0.4063342,0.6330275,0.0,0.1694915,6.3181818,0.7,16600.0
954.0,0.0015432,0.4347994,0.6928721,0.2148847,0.2363636,5.7877358,0.8076923,30300.0
1094.0,0.0114943,0.4490174,0.6444241,0.0018282,0.2,6.4457364,0.3846154,19300.0
2211.0,0.0149382,0.423592,0.5730439,0.0049751,0.1350211,6.3953871,0.34375,41200.0
18112.0,0.0405727,0.5186673,0.7112412,0.009883,0.188172,5.8293709,0.2571429,163900.0
366.0,0.0,0.4818182,0.7240437,0.0054645,0.1176471,6.3598616,0.5,29200.0
118.0,0.003413,0.4812287,0.6779661,0.0084746,0.1785714,6.0537634,0.8,21300.0
45.0,0.0,0.46875,0.5777778,0.0,0.0,5.3170732,0.0,14999.0
1775.0,0.0026756,0.4926421,0.4585915,0.0022535,0.0394904,4.7980685,0.4354839,134800.0
107.0,0.0,0.386064,0.8598131,0.0,0.0322581,3.5882353,1.0,14999.0
3298.0,0.0015017,0.4030983,0.8741662,0.0027289,0.0651945,4.7741256,0.4677419,18800.0
392.0,0.005988,0.4620758,0.752551,0.0,0.125,5.4819672,0.8571429,21700.0
1125.0,0.0045328,0.4365411,0.6755556,0.0,0.2380952,6.3056266,0.6,23300.0
44.0,0.0520833,0.3333333,0.5681818,0.0,0.5714286,6.0833333,0.75,14999.0
20.0,0.0,0.36,0.75,0.0,0.2857143,6.1176471,1.0,14999.0
692.0,0.0038023,0.4915807,0.7066474,0.0028902,0.1632653,6.9147122,0.625,29600.0
33.0,0.0,0.4205607,0.7878788,0.0,0.1428571,5.2222222,0.0,17500.0
102.0,0.0,0.4482759,0.7254902,0.4215686,0.2,5.6341463,0.6666667,19400.0
231.0,0.0,0.594306,0.6753247,0.004329,0.2307692,6.8662791,0.0,66800.0
287.0,0.0012484,0.4681648,0.7630662,0.0,0.0434783,6.374269,1.0,36000.0
1174.0,0.0027248,0.4403951,0.7044293,0.0008518,0.1263941,5.7970183,0.6764706,22800.0
4443.0,0.0074857,0.4231889,0.6335809,0.0024758,0.1285141,6.7594838,0.65625,47200.0
294.0,0.0026619,0.4294587,0.7857143,0.0,0.0740741,4.6090226,0.25,36900.0
692.0,0.0048691,0.6585514,0.5404624,0.0028902,0.0248288,5.625387,0.3103448,117300.0
84.0,0.0,0.529661,0.7619048,0.0,0.0,6.3278689,0.0,38800.0
281.0,0.0014925,0.5432836,0.6939502,0.0071174,0.0606061,6.227027,0.5,38400.0
819.0,0.0004011,0.4608905,0.7741148,0.035409,0.0837696,5.1469697,0.625,14999.0
1611.0,0.0024155,0.5373054,0.7063935,0.0043451,0.25,5.9992837,0.25,56000.0
132.0,0.0,0.4908136,0.8106061,0.0,0.2222222,5.9646018,1.0,32300.0
212.0,0.0019342,0.4332689,0.6886792,0.0,0.025,5.4724409,1.0,14999.0
3214.0,0.0015372,0.4763835,0.6185439,0.0771624,0.1231527,6.1082326,0.64,30700.0
124.0,0.0,0.4736842,0.75,0.0,0.0,6.1010101,0.0,19200.0
719.0,0.0,0.474873,0.6912378,0.0472879,0.060241,5.8927739,0.6,27200.0
539.0,0.0056726,0.5575365,0.6289425,0.0,0.1904762,6.7637795,0.25,114600.0
244.0,0.0,0.4581081,0.7540984,0.0,0.0909091,5.4372093,1.0,22000.0
825.0,0.0008945,0.4865832,0.7309091,0.0024242,0.1764706,5.6816479,0.1666667,66300.0
7477.0,0.0030801,0.4801335,0.6957336,0.0017387,0.2298507,6.484452,0.3766234,41400.0
59.0,0.0,0.4193548,0.7288136,0.0,0.125,6.7678571,1.0,14999.0
339.0,0.001218,0.4835566,0.6932153,0.0,0.1807229,5.5708812,0.8666667,14999.0
1198.0,0.0498378,0.5485108,0.884808,0.0050083,0.64,8.8155844,0.09375,274600.0
201.0,0.0093458,0.5373832,0.8756219,0.0099502,0.0666667,6.3630952,0.0,40000.0
1499.0,0.0087998,0.589098,0.7898599,0.0013342,0.0406977,6.6755358,0.4285714,74500.0
8150.0,0.0040531,0.458095,0.7398773,0.0500613,0.1605166,5.7224534,0.4310345,35300.0
51.0,0.0,0.3963964,0.6078431,0.0,0.0,5.4736842,0.0,14999.0
235.0,0.0,0.4507042,0.6723404,0.0,0.025,5.49,1.0,14999.0
928.0,0.003367,0.5031265,0.5635776,0.0010776,0.0952381,5.7477273,0.0,57200.0
587.0,0.0006707,0.4587525,0.6592845,0.0017036,0.0714286,6.0361757,0.5,27700.0
3926.0,0.0078784,0.3119222,0.5101885,0.0081508,0.1278195,6.5533371,0.2058824,40500.0
231.0,0.0032362,0.4822006,0.7835498,0.1645022,0.1538462,6.0752688,0.25,28600.0
1957.0,0.0089526,0.4364369,0.5881451,0.0020439,0.19,5.2844677,0.3157895,147800.0
109.0,0.0,0.4918033,0.6605505,0.0,0.1875,5.5384615,0.3333333,32500.0
1578.0,0.0103394,0.5625983,0.7712294,0.004436,0.5064935,5.8901903,0.4358974,79400.0
64.0,0.007874,0.5354331,0.59375,0.0,0.2727273,5.5454545,1.0,14999.0
1995.0,0.0183503,0.3098165,0.5218045,0.0090226,0.1126761,6.5119048,0.5,30500.0
152.0,0.0,0.4605911,0.75,0.0263158,0.3333333,6.0396825,0.0,31300.0
812.0,0.0036815,0.4638748,0.7758621,0.0,0.0816327,5.5232775,0.6666667,32900.0
632.0,0.0077987,0.315491,0.7610759,0.2120253,0.1276596,6.3302752,0.6666667,53100.0
78.0,0.0,0.4331551,0.6410256,0.0,0.3076923,6.0483871,0.75,14999.0
1259.0,0.0165602,0.4310386,0.7069102,0.0079428,0.2264151,7.5379976,0.3333333,122000.0
82381.0,0.1135877,0.526313,0.6502227,0.2622692,0.1293455,5.8587295,0.3957368,91800.0
103.0,0.0,0.4372093,0.4951456,0.0,0.0740741,4.816092,1.0,14999.0
88.0,0.0,0.5103734,0.7954545,0.0,0.1428571,5.9350649,1.0,14999.0
3845.0,0.0031423,0.4594214,0.6447334,0.0364109,0.1506849,6.3502258,0.6909091,26800.0
119.0,0.0035971,0.471223,0.6890756,0.0,0.1071429,5.8080808,1.0,21000.0
1028.0,0.0011516,0.4429942,0.7227626,0.0,0.2162162,6.4017857,0.625,41900.0
317.0,0.0,0.482024,0.7129338,0.0,0.1020408,5.7894737,1.0,19200.0
2801.0,0.0074897,0.5149795,0.7950732,0.0035702,0.5486111,5.4812606,0.1518987,67400.0
1024.0,0.0004696,0.3721531,0.8818359,0.9853516,0.3606557,5.8329519,0.5,30500.0
841.0,0.005386,0.532316,0.7312723,0.0023781,0.5,5.1291291,0.6885246,39400.0
455.0,0.014885,0.5270636,0.7802198,0.5274725,0.4285714,6.8984375,0.0,136400.0
10667.0,0.0242059,0.6103436,0.5966064,0.0325302,0.1458853,6.1550281,0.4358974,68700.0
941.0,0.0063358,0.4780887,0.8140276,0.0042508,0.1969697,6.2860792,0.4615385,110400.0
600.0,0.0028329,0.5444759,0.8716667,0.0033333,0.1176471,6.2140221,0.0,51500.0
1675.0,0.1243764,0.5140203,0.8776119,0.1367164,0.3103448,5.6940767,0.8148148,38600.0
39.0,0.0,0.4941176,0.6410256,0.0,0.0,5.8235294,0.0,14999.0
666.0,0.0029586,0.4846154,0.6636637,0.0,0.1166667,7.1027569,0.5714286,27600.0
45.0,0.0,0.3481481,0.7777778,0.0,0.047619,6.1538462,1.0,27500.0
673.0,0.0028233,0.4771316,0.7518574,0.0,0.203125,5.6591376,0.7692308,30100.0
393.0,0.0,0.5139442,0.7455471,0.1501272,0.0576923,5.7155172,0.5,53300.0
582.0,0.0006964,0.4874652,0.6649485,0.0068729,0.1395349,6.7901907,0.6666667,56500.0
537.0,0.0037879,0.4861111,0.8156425,0.0,0.4166667,6.0672451,0.0,49900.0
166.0,0.0,0.5411765,0.7891566,0.0,0.5,6.4820144,0.0,45200.0
11788.0,0.0063106,0.5710775,0.6886664,0.0743977,0.2732824,6.8266812,0.3240223,75700.0
1346.0,0.0145215,0.5232123,0.8989599,0.1106984,0.0740741,7.6542688,0.0,75500.0
38.0,0.0,0.3883495,0.6578947,0.0,0.4285714,5.7941176,0.6666667,14999.0
159.0,0.0,0.4460784,0.7169811,0.0062893,0.6666667,5.4538462,1.0,32700.0
545.0,0.0015962,0.5027933,0.6899083,0.0,0.125,6.0045872,0.6666667,37800.0
740.0,0.0042061,0.4863302,0.7040541,0.0,0.1142857,6.7124736,0.375,65000.0
11.0,0.0,0.56,0.4545455,0.0,0.2,6.4444444,1.0,14999.0
356.0,0.0,0.4682003,0.5814607,0.0,0.0933333,5.8023715,0.4285714,14999.0
135.0,0.0,0.4857955,0.7555556,0.0074074,0.2,5.6979167,0.5,16600.0
579.0,0.0007194,0.4726619,0.6839378,0.0103627,0.1967213,5.1963883,0.75,20900.0
1682.0,0.003031,0.475169,0.7027348,0.0,0.2916667,6.2671815,0.4761905,35000.0
435.0,0.0008613,0.4797588,0.7724138,0.0022989,0.1153846,6.1903409,1.0,29800.0
705.0,0.002451,0.4197304,0.6184397,0.0,0.1525424,6.12,0.6666667,18100.0
468.0,0.0,0.5367703,0.8034188,0.0021368,0.2857143,6.3142857,0.25,43300.0
741.0,0.0068995,0.4601121,0.7705803,0.0175439,0.2727273,5.1154529,0.4285714,72900.0
78453.0,0.0238215,0.5055361,0.6240679,0.0641913,0.1633581,5.9688039,0.4506329,36700.0
18.0,0.0140845,0.3239437,0.8333333,0.0,0.3333333,4.375,1.0,67500.0
8528.0,0.0292022,0.5419403,0.7113039,0.1213649,0.140411,6.3496814,0.3902439,50900.0
200.0,0.0,0.4704918,0.76,0.0,0.0,6.7839506,0.0,42800.0
989.0,0.0,0.4492754,0.677452,0.0,0.0825688,5.7632312,0.8518519,23000.0
432.0,0.0021097,0.4831224,0.6481481,0.0,0.0274914,5.961326,0.9375,65200.0
65.0,0.0,0.4102564,0.8769231,0.0,0.0833333,4.5714286,1.0,17100.0
3249.0,0.0128554,0.4429337,0.7959372,0.0070791,0.1481481,4.6294643,0.4166667,115700.0
10482.0,0.0188433,0.5038049,0.730872,0.060103,0.1045576,5.874869,0.4871795,43900.0
242.0,0.001368,0.495212,0.8512397,0.0,0.375,5.8072917,0.4444444,52500.0
895.0,0.011769,0.5001839,0.7608939,0.3340782,0.055794,5.2720695,0.8461538,35400.0
820.0,0.0028618,0.5143091,0.8390244,0.0,0.1428571,6.1286982,0.0,49900.0
1502.0,0.0128007,0.5466784,0.8268975,0.0446072,0.4123711,5.8445017,0.525,58500.0
325.0,0.0,0.4864865,0.7384615,0.0030769,0.2121212,5.6,1.0,16100.0
602.0,0.0,0.5009993,0.6960133,0.0016611,0.1842105,4.8958333,0.6428571,14999.0
15.0,0.0,0.6511628,0.9333333,0.0,0.0,6.9230769,0.0,40600.0
557.0,0.0,0.4603992,0.7414722,0.0,0.1190476,5.5871122,0.6,33900.0
2040.0,0.0123619,0.3116781,0.6676471,0.0009804,0.2062937,5.4391475,0.5762712,176600.0
132.0,0.0,0.4555256,0.6515152,0.0,0.0,4.875,0.0,21900.0
440.0,0.0033784,0.4189189,0.675,0.1045455,0.2894737,5.2943262,0.5,24100.0
91.0,0.0,0.5142857,0.6043956,0.0,0.0769231,6.22,0.0,26400.0
2623.0,0.0076503,0.5042935,0.6706062,0.3030881,0.1459854,5.9485893,0.7,47600.0
341.0,0.0009634,0.4450867,0.744868,0.0029326,0.0769231,6.0472441,0.25,35500.0
5764.0,0.0062805,0.5753324,0.7526024,0.1641221,0.2985782,6.3334214,0.5873016,64200.0
23.0,0.0,0.4509804,0.5217391,0.0,0.0,6.8666667,0.0,14999.0
693.0,0.0038462,0.525,0.8152958,0.002886,0.4444444,7.0052817,0.5,67100.0
275.0,0.0072046,0.4409222,0.6581818,0.0,0.25,7.3817204,0.2,23200.0
54.0,0.0069444,0.5138889,0.7222222,0.0,0.0,5.3846154,0.0,39400.0
612.0,0.0049669,0.5320088,0.8333333,0.0196078,0.0318182,5.7335835,0.1428571,104700.0
46.0,0.0074074,0.5407407,0.7826087,0.0217391,0.0,5.8235294,0.0,40000.0
1676.0,0.0012234,0.4739418,0.6473747,0.00358,0.0948905,5.9410112,0.3846154,34600.0
196.0,0.0,0.4352679,0.6326531,0.0,0.1666667,6.1503268,1.0,14999.0
233.0,0.0,0.4440559,0.6738197,0.0,0.04,6.6648649,1.0,21500.0
128.0,0.0237288,0.5559322,0.6796875,0.0,0.04,5.0947368,1.0,23300.0
84.0,0.0,0.6228571,0.6666667,0.0,0.0507042,5.8333333,0.1111111,128500.0
489.0,0.0053715,0.5022381,0.593047,0.0879346,0.4473684,7.3914894,0.3529412,91800.0
263.0,0.0,0.4736842,0.7186312,0.3726236,0.1315789,5.1780105,0.8,22000.0
3109.0,0.0946379,0.5796573,0.7870698,0.1688646,0.5257732,6.2717647,0.1372549,181900.0
166.0,0.0,0.5282051,0.7108434,0.1084337,0.3333333,5.8125,1.0,32700.0
77.0,0.0,0.3041958,0.8311688,0.9090909,0.0,5.3846154,0.0,17500.0
239.0,0.0052632,0.4473684,0.8075314,0.0,0.2222222,6.5633803,0.5,60800.0
1311.0,0.0262382,0.5840212,0.805492,0.0007628,0.4411765,7.2911184,0.2666667,107400.0
109.0,0.0,0.4342629,0.5963303,0.0,0.2142857,5.9032258,0.6666667,14999.0
7028.0,0.0027136,0.4963818,0.7319294,0.1734491,0.1663921,6.1723498,0.4158416,46200.0
133.0,0.0119403,0.3671642,0.6917293,0.0,0.0238095,5.3888889,0.0,16200.0
635.0,0.0027663,0.4073306,0.6204724,0.0031496,0.1428571,5.465,0.9,24000.0
2641.0,0.0035935,0.4328015,0.6842105,0.2226429,0.1423948,5.6291349,0.5681818,20500.0
662.0,0.0,0.4479119,0.805136,0.0981873,0.04,5.0940919,0.0,32600.0
38.0,0.0,0.4712644,0.6578947,0.0,0.1428571,6.4705882,1.0,14999.0
1254.0,0.0040939,0.5008188,0.830941,0.0454545,0.1320755,5.4181994,0.5,33200.0
91.0,0.0,0.43379,0.6373626,0.0,0.25,5.8101266,1.0,27000.0
95.0,0.0,0.5263158,0.8210526,0.0,0.4,5.4302326,0.0,22900.0
165.0,0.0,0.5053533,0.7030303,0.0,0.0,5.5816327,0.0,40000.0
757.0,0.0061501,0.5473555,0.6433289,0.001321,0.0630252,5.9881557,0.1333333,83300.0
218.0,0.0,0.4145199,0.5458716,0.0045872,0.0344828,5.0373134,0.0,18300.0
3091.0,0.0568956,0.5884262,0.8731802,0.0067939,0.6464646,7.151412,0.078125,209500.0
54.0,0.0,0.4551724,0.8518519,0.2592593,0.1764706,5.6792453,0.3333333,18800.0
66.0,0.0057471,0.4482759,0.7424242,0.0,0.1428571,5.0392157,1.0,14999.0
284.0,0.0155131,0.5942721,0.8485915,0.2887324,0.5,7.3739837,0.0,60900.0
288.0,0.0071327,0.4621969,0.6111111,0.1597222,0.0967742,5.8579545,0.3333333,29900.0
838.0,0.0004044,0.4059846,0.7076372,0.7076372,0.046875,5.6377649,0.6666667,16800.0
1543.0,0.0010478,0.387259,0.7116008,0.2410888,0.1702128,5.9931973,0.3125,42800.0
188.0,0.0,0.4967177,0.6861702,0.0053191,0.0909091,5.5608108,0.5,41200.0
1173.0,0.0067454,0.5183811,0.6675192,0.0076726,0.1388889,5.1893564,0.4,45300.0
312.0,0.0,0.443299,0.7275641,0.0,0.25,6.1936759,0.8333333,22400.0
19.0,0.0,0.5,0.5263158,0.0,0.0,4.9375,0.0,14999.0
18516.0,0.0038358,0.5121689,0.7651761,0.4228775,0.1585284,6.3967634,0.5822785,48700.0
68.0,0.0,0.4782609,0.7647059,0.0,0.0294118,5.2698413,1.0,25500.0
713.0,0.0016978,0.4601019,0.6774194,0.0,0.0980392,5.9818548,0.6,22900.0
345.0,0.0,0.5518293,0.7913043,0.0086957,0.0888889,5.5598592,0.25,42000.0
201.0,0.0020325,0.4695122,0.6865672,0.1293532,0.0434783,5.2521008,1.0,14999.0
596.0,0.0074826,0.4382683,0.7063758,0.0050336,0.0568182,5.8601399,0.2,64100.0
2542.0,0.011583,0.4752545,0.8253344,0.0027537,0.2,5.3949531,0.6666667,71300.0
1429.0,0.0143377,0.5474,0.8845346,0.0083975,0.5851064,6.5706122,0.3272727,123500.0
629.0,0.0053635,0.5709178,0.7933227,0.0079491,0.2380952,6.4881603,0.2,50100.0
130.0,0.0,0.4579125,0.6230769,0.0384615,0.0,5.5053763,0.0,14999.0
599.0,0.0143956,0.162075,0.4590985,0.0450751,0.0324324,6.5179283,0.1666667,60900.0
127.0,0.0,0.4844291,0.6456693,0.0,0.1111111,5.65,1.0,17300.0
403.0,0.0063796,0.5,0.8461538,0.0,0.2,5.7358491,0.6,37200.0
153.0,0.0,0.5085575,0.7777778,0.248366,0.1,5.8045113,1.0,27100.0
2570.0,0.0025604,0.5164594,0.7054475,0.0081712,0.0615265,5.6074634,0.2067511,208900.0
122.0,0.0,0.455414,0.795082,0.0,0.1,6.0215054,0.0,25800.0
48.0,0.0,0.4554455,0.5208333,0.0,0.0285714,4.3939394,0.0,14999.0
360.0,0.0021322,0.4573561,0.7361111,0.0,0.0,6.6142857,0.0,27300.0
18.0,0.0,0.4857143,0.5555556,0.0,0.0,5.9375,0.0,14999.0
45.0,0.0,0.4666667,0.7111111,0.0,0.0,6.4571429,0.0,20900.0
466.0,0.004491,0.5681138,0.8540773,0.0064378,0.0869565,7.2840095,0.25,60000.0
970.0,0.0076453,0.4537462,0.6804124,0.2876289,0.1145038,6.6599327,0.6666667,55000.0
40.0,0.0,0.66,0.8,0.0,0.0,7.8461538,0.0,101600.0
394.0,0.0041152,0.5506173,0.8299492,0.0025381,0.15,6.3514986,0.5,51200.0
800.0,0.0027933,0.4840383,0.80625,0.0,0.4333333,6.6128527,0.2307692,66100.0
87.0,0.0,0.4564103,0.7126437,0.1149425,0.0,5.6515152,0.0,19300.0
944.0,0.0044,0.4544,0.7012712,0.0010593,0.1714286,5.8430584,0.6666667,47900.0
4220.0,0.0028035,0.4819176,0.6604265,0.0336493,0.25,6.6417516,0.637931,42400.0
455.0,0.0008425,0.5492839,0.767033,0.0,0.0384615,5.9341693,0.5,36800.0
211.0,0.0,0.4530201,0.7251185,0.0,0.1153846,5.5688623,0.6666667,29100.0
1190.0,0.0077327,0.5120133,0.7857143,0.007563,0.1714286,6.519598,0.5,89000.0
495.0,0.0033131,0.4290447,0.8181818,0.0121212,0.1,4.7483444,1.0,47000.0
972.0,0.0,0.4489154,0.7839506,0.5205761,0.0211268,5.559949,0.6666667,32500.0
17.0,0.0,0.4761905,0.7647059,0.0,0.1666667,5.9411765,1.0,14999.0
1406.0,0.0056428,0.4443081,0.7204836,0.3684211,0.1411765,6.2115385,0.4166667,36700.0
25.0,0.0,0.484375,0.72,0.0,0.125,6.2272727,1.0,14999.0
82.0,0.0179372,0.4798206,0.8170732,0.0,0.125,5.7142857,0.0,22900.0
1225.0,0.0003351,0.5036863,0.7118367,0.0,0.0549451,5.9897013,0.8,40100.0
206.0,0.0020921,0.5481172,0.6893204,0.0,0.0235294,5.5032258,0.0,48100.0
71.0,0.0,0.4277108,0.5915493,0.9577465,0.0,5.0689655,0.0,14999.0
438.0,0.0,0.4688013,0.7146119,0.0273973,0.1111111,5.3161512,0.6,35900.0
1330.0,0.0016112,0.4809345,0.7593985,0.0007519,0.2025316,5.790625,0.3125,33400.0
1477.0,0.0013767,0.5046806,0.6662153,0.0013541,0.1412429,6.293998,0.6,24500.0
3802.0,0.0029493,0.4561888,0.7280379,0.1167806,0.3202417,5.7096774,0.754717,30100.0
1132.0,0.0028419,0.4326821,0.6660777,0.0,0.2692308,6.2113164,0.7142857,20800.0
105437.0,0.0055571,0.4906906,0.6371957,0.5646974,0.138975,6.2030806,0.5167352,32800.0
114.0,0.0,0.5333333,0.7368421,0.0,0.0,6.0229885,0.0,31300.0
531.0,0.0084926,0.4769993,0.7193974,0.0,0.1612903,6.5640327,0.4,35700.0
3772.0,0.0606373,0.5687326,0.7030753,0.0063627,0.15,7.5583296,0.0,81000.0
1728.0,0.0074224,0.5065227,0.6643519,0.0028935,0.1573034,6.6050761,0.2857143,62300.0
4408.0,0.002214,0.4577286,0.7361615,0.0369782,0.1555286,5.4227331,0.5078125,22800.0
175.0,0.002331,0.5011655,0.7085714,0.0,0.0,6.2058824,0.0,17700.0
2524.0,0.0052782,0.5884451,0.8518225,0.0257528,0.5766871,6.7518535,0.3085106,70200.0
108.0,0.0,0.4763948,0.6111111,0.0,0.25,5.4891304,0.5714286,14999.0
163.0,0.0,0.5090498,0.7300613,0.0122699,0.125,6.4297521,0.0,89200.0
1253.0,0.0040689,0.3949922,0.6496409,0.0422985,0.0949367,5.4367397,0.6,29800.0
1985.0,0.0022709,0.471924,0.6806045,0.0710327,0.1782946,5.9766129,0.2608696,32300.0
174.0,0.0,0.4837963,0.637931,0.0,0.0,6.3846154,0.0,43300.0
1977.0,0.0078966,0.4718832,0.5058169,0.3960546,0.0737913,5.9661427,0.9310345,18600.0
1277.0,0.0014017,0.4760303,0.7321848,0.0015662,0.2666667,5.8898899,0.5,43100.0
8919.0,0.007486,0.5093812,0.7022088,0.0017939,0.1512346,5.7301081,0.3469388,64100.0
24.0,0.0,0.516129,0.7083333,0.0,0.0,6.1304348,0.0,16700.0
166.0,0.0046512,0.4767442,0.753012,0.0,0.2432432,5.648855,0.7777778,27900.0
1056.0,0.0023184,0.4277434,0.6581439,0.000947,0.2051282,5.5930372,0.5625,25000.0
