Year,Station,Month,Rainfall
1972.0,Bogra,February,16.0
1972.0,Bogra,March,14.0
1972.0,Bogra,April,6.0
1972.0,Bogra,May,134.0
1972.0,Bogra,June,268.0
1972.0,Bogra,July,307.0
1972.0,Bogra,August,261.0
1972.0,Bogra,September,137.0
1972.0,Bogra,October,101.0
1972.0,Bogra,November,0.0
1972.0,Bogra,December,0.0
1972.0,Chittagong,January,0.0
1972.0,Chittagong,February,2.0
1972.0,Chittagong,March,0.0
1972.0,Chittagong,April,87.0
1972.0,Chittagong,May,15.0
1972.0,Chittagong,June,457.0
1972.0,Chittagong,July,372.0
1972.0,Chittagong,August,565.0
1972.0,Chittagong,September,0.0
1972.0,Chittagong,October,88.0
1972.0,Chittagong,November,0.0
1972.0,Chittagong,December,0.0
1972.0,Comilla,January,0.0
1972.0,Comilla,February,0.0
1972.0,Comilla,March,15.0
1972.0,Comilla,April,117.0
1972.0,Comilla,May,252.0
1972.0,Comilla,June,369.0
1972.0,Comilla,July,206.0
1972.0,Comilla,August,385.0
1972.0,Comilla,September,69.0
1972.0,Comilla,October,57.0
1972.0,Comilla,November,1.0
1972.0,Comilla,December,0.0
1972.0,CoxsBazar,January,0.0
1972.0,CoxsBazar,February,4.0
1972.0,CoxsBazar,March,0.0
1972.0,CoxsBazar,April,52.0
1972.0,CoxsBazar,May,124.0
1972.0,CoxsBazar,June,288.0
1972.0,CoxsBazar,July,324.0
1972.0,CoxsBazar,August,839.0
1972.0,CoxsBazar,September,56.0
1972.0,CoxsBazar,October,440.0
1972.0,CoxsBazar,November,1.0
1972.0,CoxsBazar,December,0.0
1972.0,Dhaka,January,0.0
1972.0,Dhaka,February,11.0
1972.0,Dhaka,March,12.0
1972.0,Dhaka,April,248.0
1972.0,Dhaka,May,340.0
1972.0,Dhaka,June,353.0
1972.0,Dhaka,July,249.0
1972.0,Dhaka,August,380.0
1972.0,Dhaka,September,110.0
1972.0,Dhaka,October,105.0
1972.0,Dhaka,November,0.0
1972.0,Dhaka,December,0.0
1972.0,Dinajpur,January,0.0
1972.0,Dinajpur,February,0.0
1972.0,Dinajpur,March,4.0
1972.0,Dinajpur,April,0.0
1972.0,Dinajpur,May,0.0
1972.0,Dinajpur,June,171.0
1972.0,Dinajpur,July,257.0
1972.0,Dinajpur,August,371.0
1972.0,Dinajpur,September,130.0
1972.0,Dinajpur,October,52.0
1972.0,Dinajpur,November,0.0
1972.0,Dinajpur,December,0.0
1972.0,Faridpur,January,0.0
1972.0,Faridpur,February,70.0
1972.0,Faridpur,March,2.0
1972.0,Faridpur,April,177.0
1972.0,Faridpur,May,257.0
1972.0,Faridpur,June,246.0
1972.0,Faridpur,July,203.0
1972.0,Faridpur,August,366.0
1972.0,Faridpur,September,259.0
1972.0,Faridpur,October,62.0
1972.0,Faridpur,November,0.0
1972.0,Faridpur,December,0.0
1972.0,Ishurdi,January,0.0
1972.0,Ishurdi,February,0.0
1972.0,Ishurdi,March,0.0
1972.0,Ishurdi,April,27.0
1972.0,Ishurdi,May,130.0
1972.0,Ishurdi,June,159.0
1972.0,Ishurdi,July,217.0
1972.0,Ishurdi,August,228.0
1972.0,Ishurdi,September,138.0
1972.0,Ishurdi,October,45.0
1972.0,Ishurdi,November,0.0
1972.0,Ishurdi,December,0.0
1972.0,Jessore,January,0.0
1972.0,Jessore,February,4.0
1972.0,Jessore,March,7.0
1972.0,Jessore,April,37.0
1972.0,Jessore,May,22.0
1972.0,Jessore,June,110.0
1972.0,Jessore,July,169.0
1972.0,Jessore,August,372.0
1972.0,Jessore,September,131.0
1972.0,Jessore,October,17.0
1972.0,Jessore,November,1.0
1972.0,Jessore,December,0.0
1972.0,Khulna,January,0.0
1972.0,Khulna,February,0.0
1972.0,Khulna,March,0.0
1972.0,Khulna,April,64.0
1972.0,Khulna,May,121.0
1972.0,Khulna,June,0.0
1972.0,Khulna,July,137.0
1972.0,Khulna,August,0.0
1972.0,Khulna,September,0.0
1972.0,Khulna,October,0.0
1972.0,Khulna,November,0.0
1972.0,Khulna,December,0.0
1972.0,M.court,January,0.0
1972.0,M.court,February,59.0
1972.0,M.court,March,10.0
1972.0,M.court,April,46.0
1972.0,M.court,May,123.0
1972.0,M.court,June,470.0
1972.0,M.court,July,454.0
1972.0,M.court,August,722.0
1972.0,M.court,September,73.0
1972.0,M.court,October,88.0
1972.0,M.court,November,6.0
1972.0,M.court,December,0.0
1972.0,Mymensingh,January,0.0
1972.0,Mymensingh,February,20.0
1972.0,Mymensingh,March,35.0
1972.0,Mymensingh,April,89.0
1972.0,Mymensingh,May,127.0
1972.0,Mymensingh,June,625.0
1972.0,Mymensingh,July,418.0
1972.0,Mymensingh,August,130.0
1972.0,Mymensingh,September,204.0
1972.0,Mymensingh,October,6.0
1972.0,Mymensingh,November,0.0
1972.0,Mymensingh,December,0.0
1972.0,Rajshahi,January,10.0
1972.0,Rajshahi,February,13.0
1972.0,Rajshahi,March,0.0
1972.0,Rajshahi,April,19.0
1972.0,Rajshahi,May,88.0
1972.0,Rajshahi,June,208.0
1972.0,Rajshahi,July,109.0
1972.0,Rajshahi,August,248.0
1972.0,Rajshahi,September,175.0
1972.0,Rajshahi,October,51.0
1972.0,Rajshahi,November,0.0
1972.0,Rajshahi,December,0.0
1972.0,Rangamati,January,0.0
1972.0,Rangamati,February,2.0
1972.0,Rangamati,March,0.0
1972.0,Rangamati,April,37.0
1972.0,Rangamati,May,105.0
1972.0,Rangamati,June,450.0
1972.0,Rangamati,July,315.0
1972.0,Rangamati,August,309.0
1972.0,Rangamati,September,100.0
1972.0,Rangamati,October,53.0
1972.0,Rangamati,November,4.0
1972.0,Rangamati,December,0.0
1972.0,Rangpur,January,4.0
1972.0,Rangpur,February,42.0
1972.0,Rangpur,March,53.0
1972.0,Rangpur,April,31.0
1972.0,Rangpur,May,100.0
1972.0,Rangpur,June,239.0
1972.0,Rangpur,July,325.0
1972.0,Rangpur,August,0.0
1972.0,Rangpur,September,201.0
1972.0,Rangpur,October,118.0
1972.0,Rangpur,November,1.0
1972.0,Rangpur,December,0.0
1972.0,Sandwip,January,0.0
1972.0,Sandwip,February,16.0
1972.0,Sandwip,March,14.0
1972.0,Sandwip,April,45.0
1972.0,Sandwip,May,253.0
1972.0,Sandwip,June,1055.0
1972.0,Sandwip,July,624.0
1972.0,Sandwip,August,1029.0
1972.0,Sandwip,September,148.0
1972.0,Sandwip,October,326.0
1972.0,Sandwip,November,3.0
1972.0,Sandwip,December,0.0
1972.0,Satkhira,January,0.0
1972.0,Satkhira,February,15.0
1972.0,Satkhira,March,0.0
1972.0,Satkhira,April,8.0
1972.0,Satkhira,May,0.0
1972.0,Satkhira,June,0.0
1972.0,Satkhira,July,0.0
1972.0,Satkhira,August,0.0
1972.0,Satkhira,September,0.0
1972.0,Satkhira,October,0.0
1972.0,Satkhira,November,0.0
1972.0,Satkhira,December,0.0
1972.0,Srimangal,January,0.0
1972.0,Srimangal,February,42.0
1972.0,Srimangal,March,90.0
1972.0,Srimangal,April,234.0
1972.0,Srimangal,May,269.0
1972.0,Srimangal,June,0.0
1972.0,Srimangal,July,447.0
1972.0,Srimangal,August,202.0
1972.0,Srimangal,September,191.0
1972.0,Srimangal,October,36.0
1972.0,Srimangal,November,2.0
1972.0,Srimangal,December,0.0
1972.0,Sylhet,January,4.0
1972.0,Sylhet,February,40.0
1972.0,Sylhet,March,110.0
1972.0,Sylhet,April,445.0
1972.0,Sylhet,May,384.0
1972.0,Sylhet,June,829.0
1972.0,Sylhet,July,826.0
1972.0,Sylhet,August,479.0
1972.0,Sylhet,September,353.0
1972.0,Sylhet,October,302.0
1972.0,Sylhet,November,0.0
1972.0,Sylhet,December,0.0
1973.0,Barisal,January,0.0
1973.0,Barisal,February,12.0
1973.0,Barisal,March,81.0
1973.0,Barisal,April,42.0
1973.0,Barisal,May,508.0
1973.0,Barisal,June,502.0
1973.0,Barisal,July,392.0
1973.0,Barisal,August,266.0
1973.0,Barisal,September,398.0
1973.0,Barisal,October,308.0
1973.0,Barisal,November,171.0
1973.0,Barisal,December,197.0
1973.0,Bhola,January,0.0
1973.0,Bhola,February,0.0
1973.0,Bhola,March,99.0
1973.0,Bhola,April,53.0
1973.0,Bhola,May,500.0
1973.0,Bhola,June,0.0
1973.0,Bhola,July,445.0
1973.0,Bhola,August,305.0
1973.0,Bhola,September,0.0
1973.0,Bhola,October,0.0
1973.0,Bhola,November,197.0
1973.0,Bhola,December,151.0
1973.0,Bogra,January,12.0
1973.0,Bogra,February,63.0
1973.0,Bogra,March,10.0
1973.0,Bogra,April,95.0
1973.0,Bogra,May,259.0
1973.0,Bogra,June,835.0
1973.0,Bogra,July,350.0
1973.0,Bogra,August,194.0
1973.0,Bogra,September,584.0
1973.0,Bogra,October,60.0
1973.0,Bogra,November,27.0
1973.0,Bogra,December,27.0
1973.0,Chandpur,January,0.0
1973.0,Chandpur,February,0.0
1973.0,Chandpur,March,0.0
1973.0,Chandpur,April,54.0
1973.0,Chandpur,May,454.0
1973.0,Chandpur,June,182.0
1973.0,Chandpur,July,489.0
1973.0,Chandpur,August,53.0
1973.0,Chandpur,September,205.0
1973.0,Chandpur,October,157.0
1973.0,Chandpur,November,0.0
1973.0,Chandpur,December,0.0
